chr	start	end	baseMean	log2FoldChange	pvalue	padj
chr8	23682239	23683315	54.5	2.6	4.357e-10	1.511e-08
chr21	42530804	42535215	836.3	-0.6	1.470e-10	1.514e-08
chr17	38414700	38415863	111.4	1.6	3.754e-10	1.517e-08
chr12	113055364	113061543	2847.8	-0.3	5.365e-10	1.522e-08
chr13	96089733	96091325	103	1.7	3.545e-10	1.581e-08
chr1	85576261	85577686	225.8	1.1	5.119e-10	1.586e-08
chr16	11963565	11968843	778.4	0.6	3.081e-10	1.643e-08
chr3	123027102	123028686	139.5	1.4	3.793e-10	1.679e-08
chr2	120229974	120232836	519.2	-0.7	3.194e-10	1.708e-08
chr11	31812895	31814460	39.3	3.2	6.128e-10	1.750e-08
chr17	77372745	77374762	235.7	1.1	5.368e-10	1.750e-08
chr7	5421468	5424543	208.9	1.1	5.390e-10	1.762e-08
chr7	27911620	27914092	245	-1	5.512e-10	1.762e-08
chr2	240645883	240646842	71.6	2	5.848e-10	1.830e-08
chr3	194103996	194106112	302	-0.9	5.689e-10	1.844e-08
chr4	54099328	54101145	67.4	2.1	5.917e-10	1.844e-08
chr15	59399189	59403679	706.9	-0.6	2.860e-10	1.884e-08
chr19	43778617	43783292	865.8	-0.5	3.177e-10	2.087e-08
chr2	54455103	54458298	818.3	0.6	2.112e-10	2.108e-08
chr6	25039228	25042542	479.3	-0.7	4.292e-10	2.219e-08
chr20	57389271	57396408	2023.5	-0.4	5.367e-10	2.246e-08
chr13	39602331	39603679	166.3	1.3	7.627e-10	2.387e-08
chr4	123362034	123363939	326.9	-0.9	7.601e-10	2.423e-08
chr17	57444038	57446831	366.2	-0.8	7.603e-10	2.443e-08
chr10	35640872	35643626	554.9	0.7	4.750e-10	2.465e-08
chr1	9181679	9182952	56.6	2.3	6.558e-10	2.509e-08
chr22	39452119	39455240	202.2	-1.1	8.571e-10	2.526e-08
chr11	46361170	46362974	455.5	-0.8	8.638e-10	2.540e-08
chr5	113294150	113295147	105.2	1.6	6.917e-10	2.628e-08
chr12	132071209	132073153	159.3	-1.3	9.109e-10	2.667e-08
chr19	10418561	10421796	637.7	0.6	4.154e-10	2.668e-08
chr17	1108216	1110371	296.1	0.9	8.563e-10	2.701e-08
chr20	1803112	1804115	51.2	2.6	7.461e-10	2.809e-08
chr17	63476285	63477724	74.8	1.9	9.642e-10	2.813e-08
chr1	4052819	4054230	154.9	-1.3	7.102e-10	2.951e-08
chr14	38126730	38129915	236.4	-1	9.770e-10	3.023e-08
chr2	74777372	74778827	53.9	-2.5	1.115e-09	3.231e-08
chr13	60662577	60664630	630.9	-0.6	5.356e-10	3.386e-08
chr14	22813914	22815910	302	-1	1.105e-09	3.397e-08
chr6	180076	182761	232.6	1	1.132e-09	3.444e-08
chrX	78103499	78108308	781.3	-0.6	5.533e-10	3.448e-08
chr5	151078520	151083010	1516.4	-0.4	9.168e-10	3.656e-08
chr8	102930109	102932402	193.4	-1.1	1.302e-09	3.702e-08
chr3	125054643	125056549	231.1	1.1	1.318e-09	3.738e-08
chr3	196889312	196890351	35.2	3.3	1.216e-09	3.798e-08
chr12	1529714	1532391	675.4	0.6	2.330e-10	3.802e-08
chr9	37411788	37413496	177	-1.2	1.389e-09	3.927e-08
chr19	16583704	16589019	1312.5	-0.4	7.745e-10	3.938e-08
chr5	66595824	66597586	329.5	0.9	1.317e-09	4.000e-08
chr8	118281316	118284476	749.9	-0.6	2.543e-10	4.114e-08
chr5	132776661	132778017	362.9	0.8	1.512e-09	4.223e-08
chr1	19643631	19645772	428.1	0.7	1.598e-09	4.470e-08
chr1	151837963	151840238	279.5	0.9	1.766e-09	4.930e-08
chr10	84170306	84172457	258.7	-1	1.817e-09	5.051e-08
chr12	113152091	113155802	1378.5	-0.4	5.208e-10	5.051e-08
chr18	31684274	31686078	131.6	1.4	1.599e-09	5.071e-08
chrX	130084308	130087298	106.3	-1.6	1.698e-09	5.373e-08
chr8	133498035	133499923	283.9	-1	2.032e-09	5.612e-08
chr2	224038250	224039866	102.4	2.6	1.831e-09	5.770e-08
chr2	27264202	27265361	82.5	1.8	1.743e-09	6.180e-08
chr4	147731788	147732766	44.9	2.6	2.492e-09	6.354e-08
chr14_KI270724v1_random	1692	3005	70.8	2	2.155e-09	6.487e-08
chr10	133324929	133326211	86.5	1.7	2.142e-09	6.691e-08
chr15	84630385	84634779	1370	-0.4	7.726e-10	6.904e-08
chr11	67403140	67405617	441.1	-0.7	2.612e-09	7.660e-08
chr9	113565302	113566329	37.5	3	2.609e-09	7.787e-08
chr22	17120293	17121988	301.1	0.9	2.770e-09	8.089e-08
chr14	75439909	75441577	260	-1	2.952e-09	8.516e-08
chr10	48671006	48673062	280.3	-0.9	3.538e-09	9.503e-08
chr6	56843009	56844373	147.5	1.3	3.097e-09	9.534e-08
chr11	62499410	62500336	42	-2.8	3.616e-09	9.960e-08
chr19	55216394	55217602	269.2	0.9	3.490e-09	9.982e-08
chr14	95664557	95667711	578.8	-0.7	2.178e-09	1.001e-07
chr1	85047691	85049067	289.5	0.9	3.813e-09	1.018e-07
chr6	6584318	6590121	983.8	-0.5	1.758e-09	1.021e-07
chr3	18444261	18445964	100.9	1.6	4.119e-09	1.103e-07
chr1	182601597	182604887	832.6	0.5	1.307e-09	1.135e-07
chr7	111678631	111683126	592.2	-0.7	2.164e-09	1.135e-07
chr12	6866901	6869434	1454.2	-0.4	3.319e-09	1.213e-07
chr4	153152551	153154209	254	0.9	4.320e-09	1.215e-07
chr15	76059081	76060618	107	1.5	3.237e-09	1.218e-07
chr3	138114747	138115863	83.5	1.8	4.658e-09	1.225e-07
chr14	49977094	49979840	334.8	-0.9	4.374e-09	1.236e-07
chr20	2206967	2208107	169.1	1.2	4.583e-09	1.279e-07
chr7	116524646	116527003	668.2	0.6	9.054e-10	1.360e-07
chr5	69492417	69494025	63.3	2.1	5.430e-09	1.416e-07
chr17	43545041	43546944	136.8	1.3	5.439e-09	1.424e-07
chr12	51820350	51821500	67.9	2.1	5.678e-09	1.475e-07
chr16	88455236	88456644	55.7	2.3	4.469e-09	1.492e-07
chr3	186361452	186362604	58.2	2.2	5.867e-09	1.518e-07
chr3	48240762	48243696	825.9	-0.5	1.820e-09	1.553e-07
chr10	89206575	89208619	110	1.5	4.697e-09	1.559e-07
chr2	171522180	171523696	52.4	2.3	5.936e-09	1.563e-07
chr20	17530488	17531705	86.8	1.7	4.432e-09	1.624e-07
chr1	156114433	156115631	124.4	1.4	4.551e-09	1.664e-07
chr1	36306152	36308598	990.5	-0.5	2.001e-09	1.671e-07
chr18	79523880	79525036	238.8	-1	6.548e-09	1.671e-07
chr17	48610138	48611432	103.9	1.6	5.824e-09	1.693e-07
chr15	78810536	78812306	222.8	1	6.341e-09	1.717e-07
chr12	113132635	113136339	1547.8	-0.4	4.894e-09	1.755e-07
chr12	67068327	67070171	226.4	1	6.695e-09	1.791e-07
chr7	142853876	142855674	692.4	0.6	1.234e-09	1.792e-07
chr13	20192422	20194203	57.6	2.1	7.221e-09	1.792e-07
chr19	18291640	18292864	171.2	1.2	6.684e-09	1.792e-07
chr12	661164	664094	1119.2	-0.5	2.266e-09	1.802e-07
chr6	10528249	10534904	1075.9	-0.5	2.338e-09	1.842e-07
chr12	22334125	22335828	133.9	1.3	7.321e-09	1.875e-07
chr8	130442918	130443993	36.1	2.9	7.571e-09	1.935e-07
chrUn_GL000216v2	171611	172029	38.6	2.8	7.774e-09	1.952e-07
chr7	47494496	47497455	463.9	-0.7	8.152e-09	1.959e-07
chr5	54168268	54172064	777.5	-0.6	4.607e-09	1.962e-07
chr9	129173978	129178887	541.3	0.6	4.019e-09	1.969e-07
chr8	95132345	95138312	4432	-0.2	9.050e-09	2.028e-07
chr9	121299247	121300355	94.9	1.6	8.226e-09	2.078e-07
chr11	574449	578788	1549.3	-0.4	9.345e-09	2.086e-07
chr10	21494231	21497639	682.6	0.6	4.969e-09	2.095e-07
chr15	66181622	66185776	514.1	-0.7	5.060e-09	2.130e-07
chr6	36839292	36840762	105.7	1.5	7.095e-09	2.237e-07
chr1	156060566	156062551	327.6	-0.8	9.767e-09	2.306e-07
chr7	48035106	48036425	318.1	0.8	1.048e-08	2.541e-07
chr10	110617832	110619273	122.6	-1.4	1.042e-08	2.599e-07
chr8	95077072	95079211	414.9	-0.7	1.015e-08	2.629e-07
chr4	169270034	169271644	174.5	1.1	1.044e-08	2.697e-07
chr2	65029949	65033009	611.7	-0.6	6.818e-09	2.810e-07
chr14	105599066	105602461	527.8	-0.6	6.926e-09	2.849e-07
chr7	30726514	30727471	102	1.5	8.473e-09	2.918e-07
chr1	157697847	157701339	534.3	-0.7	7.083e-09	2.925e-07
chr3	174440444	174441965	419	0.7	1.274e-08	2.958e-07
chr2	8572229	8578472	1688.7	-0.4	8.913e-09	3.022e-07
chr17	51043849	51047012	274	-0.9	1.282e-08	3.052e-07
chr11	27700176	27701650	43.7	2.5	1.389e-08	3.078e-07
chr9	104925903	104928296	747	-0.6	4.098e-09	3.096e-07
chr7	73647640	73648459	56.2	2.1	1.357e-08	3.185e-07
chr19	37913924	37915714	97.5	-1.6	9.474e-09	3.214e-07
chr12	99984336	99985612	145	1.2	1.355e-08	3.290e-07
chr6	150632305	150636032	705.9	-0.6	2.427e-09	3.301e-07
chr18	12307822	12309040	102.9	1.5	1.396e-08	3.313e-07
chr5	95619777	95621857	622.8	0.6	8.061e-09	3.313e-07
chr19	13865462	13866409	69.1	1.9	1.590e-08	3.691e-07
chr9	105656042	105656960	63.1	2	1.235e-08	3.738e-07
chr1	218164224	218165835	98.1	1.5	1.601e-08	3.845e-07
chr1	21650949	21652411	133.4	1.3	1.639e-08	3.859e-07
chr14	76761284	76762379	67.9	1.9	1.508e-08	3.869e-07
chr19	48595886	48597340	64.1	-1.9	1.297e-08	3.895e-07
chr17	35795087	35795969	51.1	2.2	1.681e-08	4.006e-07
chr10	100372810	100375431	343.8	-0.8	1.887e-08	4.360e-07
chr5	43191678	43193209	113.3	1.4	1.869e-08	4.441e-07
chrX	119757360	119760462	628.9	-0.6	1.136e-08	4.549e-07
chr3	62823330	62827574	427.2	-0.7	2.109e-08	4.711e-07
chr19	40411829	40413457	64.1	-1.9	2.129e-08	4.837e-07
chr2	178193546	178195601	812.8	0.5	6.418e-09	4.837e-07
chr8	2642866	2645905	338.5	-0.8	2.015e-08	4.937e-07
chr7	128937492	128939019	669.7	0.6	1.016e-08	5.101e-07
chr16	47141837	47144861	1408.1	0.4	1.244e-08	5.115e-07
chr4	145481271	145483837	646.6	0.6	1.030e-08	5.115e-07
chr7	32942508	32943361	71.3	1.8	2.320e-08	5.297e-07
chr14	72892142	72895034	597.7	0.6	1.198e-08	5.401e-07
chr11	110092258	110094167	891.7	0.5	1.101e-08	5.449e-07
chr19	7915765	7917028	80.3	1.7	2.216e-08	5.520e-07
chr5	392233	395896	379.2	-0.7	2.449e-08	5.520e-07
chr10	46106147	46107093	77.7	1.7	2.385e-08	5.525e-07
chr1	235423087	235425983	519.8	-0.7	1.483e-08	5.703e-07
chr11	111428398	111429194	61.6	-1.9	2.478e-08	5.719e-07
chr11	107590583	107592042	175.2	1.1	2.593e-08	5.802e-07
chr7	101162385	101164658	590.6	0.6	1.536e-08	5.920e-07
chr1	28174035	28176500	143.3	-1.2	2.623e-08	6.023e-07
chr12	117098167	117099927	551.2	0.6	1.697e-08	6.469e-07
chr11	45930361	45934092	379.6	-0.8	2.938e-08	6.528e-07
chr5	43310755	43314030	1040.7	-0.5	8.824e-09	6.849e-07
chr3	75668990	75669633	70.2	1.8	3.113e-08	6.933e-07
chr16	57801918	57802927	39.9	2.5	3.105e-08	7.069e-07
chr11	108592668	108594051	300	0.8	3.237e-08	7.143e-07
chr11	61293738	61295774	646.7	0.6	5.712e-09	7.274e-07
chr17	63445647	63447060	172.5	1.1	3.296e-08	7.277e-07
chr6	152682782	152686720	258.8	-1	3.322e-08	7.653e-07
chr2	27262265	27263487	136.6	1.2	3.515e-08	7.793e-07
chr18	26656412	26657475	72.7	1.7	3.645e-08	8.021e-07
chr22	37518828	37519945	72.3	1.8	3.736e-08	8.093e-07
chr12	52036631	52038021	259.2	0.9	3.632e-08	8.418e-07
chr11	33891240	33892143	40.5	2.5	3.781e-08	8.475e-07
chr8	102813948	102816229	195.2	-1	3.688e-08	8.520e-07
chr7	156999480	157001371	223.9	0.9	3.819e-08	8.694e-07
chr11	111512409	111513247	140.4	1.2	3.919e-08	8.740e-07
chr6	46734280	46735557	116.9	1.4	3.231e-08	9.046e-07
chr3	42159102	42163057	502.5	-0.6	2.499e-08	9.308e-07
chr12	50923558	50929145	1512.1	-0.4	4.844e-08	9.511e-07
chr7	116671691	116672610	94.8	1.5	3.851e-08	9.512e-07
chr1	203449555	203451032	105	-1.4	3.121e-08	9.622e-07
chr1	206769817	206773352	550.9	-0.6	2.865e-08	1.051e-06
chr21	41229187	41232875	413.5	-0.8	5.078e-08	1.091e-06
chr19	11089063	11091650	1106.7	-0.4	1.465e-08	1.095e-06
chr9	137045711	137046687	70.2	1.8	5.181e-08	1.096e-06
chr9	137461481	137463077	209.2	-1	5.060e-08	1.131e-06
chr1	182924845	182927923	299	-0.8	5.370e-08	1.142e-06
chr13	49398007	49401950	597.5	-0.6	3.218e-08	1.169e-06
chrX	1492350	1496918	714.4	-0.6	1.733e-08	1.170e-06
chr10	72272374	72276518	2676.8	-0.3	4.095e-08	1.203e-06
chr6	30883475	30886372	492.5	-0.6	3.351e-08	1.212e-06
chr3	98531967	98535148	159.6	-1.2	5.441e-08	1.227e-06
chr7	140640085	140641349	55.7	2	5.876e-08	1.227e-06
chr17	15944346	15945735	127.9	1.3	4.842e-08	1.318e-06
chr1	12617867	12618819	56.4	2	6.270e-08	1.323e-06
chr6	150142646	150143518	27.2	3.5	6.813e-08	1.446e-06
chr4	173367592	173373579	1326.8	-0.4	2.036e-08	1.490e-06
chr7	107660760	107662131	62.7	1.8	6.491e-08	1.496e-06
chr15	66155721	66156890	88.6	-1.5	7.002e-08	1.503e-06
chr1	167328269	167333870	708.6	-0.6	2.287e-08	1.516e-06
chr16	56858162	56859163	55.5	2	6.681e-08	1.532e-06
chr8	141205492	141206680	157.7	1.1	7.167e-08	1.593e-06
chr16	70685347	70686432	44.9	2.4	7.755e-08	1.615e-06
chr17	76966997	76970298	1070.4	-0.4	2.463e-08	1.619e-06
chr20	4985936	4987814	131.2	-1.3	6.831e-08	1.619e-06
chr1	207454073	207455253	134.9	1.2	6.989e-08	1.654e-06
chr1	77888190	77889519	232.9	0.9	7.523e-08	1.656e-06
chr1	219927744	219928785	51.9	2.1	6.215e-08	1.656e-06
chr2	74502305	74503772	283.2	0.8	7.634e-08	1.664e-06
chr12	49537663	49539552	208.1	1	8.196e-08	1.678e-06
chr9	122126245	122127421	75.7	1.7	6.379e-08	1.688e-06
chr1	77281600	77282840	90.1	1.5	6.544e-08	1.729e-06
chr4	1792940	1795338	115.6	1.3	8.717e-08	1.829e-06
chr2	143936488	143938024	641.1	0.6	5.231e-08	1.836e-06
chr6	41199942	41201522	126.3	1.3	7.891e-08	1.840e-06
chr18	55581074	55590431	1301.9	-0.4	5.019e-08	1.841e-06
chr5	80143847	80146949	308	-0.8	8.536e-08	1.852e-06
chr18	79784227	79785279	63.9	1.8	7.112e-08	1.862e-06
chr12	123073882	123076268	243.7	-1	8.639e-08	1.868e-06
chr3	107429629	107432440	531.5	0.6	5.451e-08	1.880e-06
chr16	11686791	11688126	62.2	1.8	9.489e-08	1.893e-06
chr12	116878389	116882519	1341.3	0.4	2.702e-08	1.899e-06
chr8	11390434	11393409	169.4	-1.1	9.036e-08	1.902e-06
chr6	17986856	17988604	292.5	0.8	9.176e-08	1.928e-06
chr12	24947318	24949632	814.3	0.5	4.600e-08	2.010e-06
chr3	50674429	50675789	189.4	1	9.474e-08	2.010e-06
chr5	131209488	131213002	550	-0.6	5.086e-08	2.016e-06
chr3	51966808	51968387	222.4	0.9	1.010e-07	2.018e-06
chr3	48683644	48686556	905.2	-0.5	3.087e-08	2.018e-06
chr15	92830444	92832567	170.7	-1.1	9.934e-08	2.068e-06
chr17	80219332	80220792	254	0.9	1.069e-07	2.116e-06
chr2	47655235	47657381	496.1	-0.6	5.387e-08	2.116e-06
chr7	27142318	27144395	718.3	0.5	3.361e-08	2.116e-06
chr19	42526114	42529304	446.5	-1.1	1.077e-07	2.130e-06
chr9	34957585	34958770	67.2	1.8	1.080e-07	2.138e-06
chr1	31771981	31773179	140.2	1.2	1.080e-07	2.144e-06
chr12	47832297	47834441	127.9	-1.3	8.430e-08	2.144e-06
chr10	102641858	102652322	2069.7	-0.3	7.861e-08	2.150e-06
chr8	124997171	125002734	2772.4	-0.3	8.289e-08	2.306e-06
chr16	30775170	30776332	179.3	1	1.147e-07	2.352e-06
chr9	69671739	69673240	187.6	1	1.144e-07	2.390e-06
chr9	124872540	124873882	58.9	2	9.586e-08	2.417e-06
chr16	274995	276145	56.3	1.9	9.746e-08	2.454e-06
chr5	58459315	58461019	461.6	0.6	1.169e-07	2.457e-06
chr11	111298468	111300088	354.5	0.7	1.287e-07	2.494e-06
chr20	5910940	5912224	290.3	0.8	1.219e-07	2.507e-06
chr15	91100055	91101011	36.7	2.5	1.415e-07	2.549e-06
chr2	8547793	8549665	133.4	-1.3	1.020e-07	2.549e-06
chr8	30911714	30912593	29.5	3.2	1.199e-07	2.551e-06
chr2	218892431	218894785	390.8	-0.7	1.389e-07	2.595e-06
chr3	42653968	42654976	39.7	2.4	1.337e-07	2.604e-06
chr5	151211264	151216053	1042	-0.5	4.355e-08	2.640e-06
chrX	107775282	107776645	97.1	1.4	9.639e-08	2.650e-06
chr14	21069555	21072010	204.7	0.9	1.305e-07	2.653e-06
chr3	129605351	129607758	417.8	0.7	1.400e-07	2.673e-06
chr9	92727086	92730188	456.7	-0.7	1.337e-07	2.731e-06
chr7	105876094	105877344	160.6	1.1	1.412e-07	2.821e-06
chr2	10079501	10080956	87	1.5	1.157e-07	2.847e-06
chr21	43807211	43811025	1311.8	-0.4	8.596e-08	2.928e-06
chr16	19167776	19169135	107.4	1.3	1.360e-07	2.960e-06
chr13	30372829	30377409	985.4	-0.5	4.489e-08	2.967e-06
chr2	170139231	170144625	1223.8	-0.4	7.175e-08	2.967e-06
chr9	41074316	41075284	79.4	1.6	1.244e-07	3.038e-06
chr8	132674993	132675962	178.2	1	1.551e-07	3.066e-06
chr1	211326310	211330946	1231.6	-0.4	5.074e-08	3.141e-06
chr11	44604320	44605730	157.4	-1.1	1.692e-07	3.190e-06
chr11	10455119	10458310	481.7	-0.6	1.014e-07	3.257e-06
chr18	12038380	12039287	178.3	1	1.698e-07	3.380e-06
chr8	41896429	41897774	100.9	1.4	1.804e-07	3.412e-06
chr15	67781926	67783790	418.3	-0.7	1.826e-07	3.422e-06
chr4	84582475	84583883	140.4	1.1	1.309e-07	3.505e-06
chr1	202860959	202862244	113.5	1.3	1.882e-07	3.540e-06
chr22	19717632	19719139	293.4	0.8	1.777e-07	3.540e-06
chr7	151381023	151382244	107.6	1.3	1.858e-07	3.552e-06
chr7	157336135	157340118	1381.8	-0.4	1.068e-07	3.554e-06
chr16	56930740	56937764	2413	0.3	1.360e-07	3.580e-06
chr5	77972384	77973523	147.4	1.1	1.941e-07	3.693e-06
chr19	6527943	6533290	2242.8	-0.3	1.428e-07	3.746e-06
chr1	161720952	161724109	489.3	-0.6	1.174e-07	3.791e-06
chr8	11801734	11808951	1265.6	-0.4	9.956e-08	4.009e-06
chr1	40160609	40163504	1306.4	-0.4	1.001e-07	4.024e-06
chr1	168135553	168137583	343.3	0.7	2.201e-07	4.054e-06
chr3	155743639	155745506	645.8	0.5	1.291e-07	4.082e-06
chr10	30422702	30424123	69.1	-1.7	2.324e-07	4.215e-06
chr11	10930698	10931650	66.3	1.7	2.351e-07	4.259e-06
chr17	44314799	44316013	55.4	1.9	2.312e-07	4.342e-06
chr17	7884677	7888478	1431.2	-0.4	1.328e-07	4.377e-06
chr6	134174260	134176518	462.4	0.6	2.254e-07	4.393e-06
chr11	65899044	65900947	208.7	1	2.442e-07	4.436e-06
chr2	56183702	56184812	60.3	1.8	2.397e-07	4.477e-06
chr9	129383244	129384309	133.8	1.2	1.912e-07	4.486e-06
chr17	81936383	81937828	478.7	0.6	1.458e-07	4.621e-06
chr17	14300530	14303116	201.5	1	2.570e-07	4.659e-06
chr16	85303031	85304168	223.1	0.9	2.612e-07	4.729e-06
chr12	94649742	94650684	64.5	1.7	2.589e-07	4.801e-06
chr18	10888453	10890775	198.4	-1	2.690e-07	5.144e-06
chr16	56607962	56609989	400.3	0.7	2.992e-07	5.222e-06
chr2	119223282	119224416	110.5	1.3	2.032e-07	5.231e-06
chr9	86098891	86100161	97.2	1.4	2.544e-07	5.231e-06
chr12	128821647	128825054	1340.2	-0.4	8.393e-08	5.252e-06
chr10	73094210	73097570	1285.2	-0.4	8.461e-08	5.287e-06
chr21	45418289	45419016	29.5	2.8	3.394e-07	5.647e-06
chr17	28575796	28577029	115.1	-3.3	2.223e-07	5.685e-06
chr7	8261414	8262596	75.2	1.6	2.982e-07	5.855e-06
chr19	18007119	18009112	297.9	-0.8	3.075e-07	5.912e-06
chr13	40978687	40983469	454.3	0.6	3.151e-07	5.987e-06
chr11	18393996	18396924	1941.5	-0.3	3.866e-07	6.240e-06
chr22	46769142	46771564	256.9	-1.7	3.446e-07	6.478e-06
chr12	62631682	62632839	122.8	1.2	3.200e-07	6.490e-06
chr5	102865511	102866723	216.2	0.9	3.688e-07	6.505e-06
chr4	40629498	40630848	116.8	1.2	2.863e-07	6.529e-06
chr11	76782758	76783863	97.1	1.4	3.288e-07	6.640e-06
chr7	987658	988792	41.9	-2.2	4.054e-07	6.643e-06
chrX	53320346	53321412	52.5	1.9	3.872e-07	6.735e-06
chr1	32900734	32901997	268.8	0.8	3.846e-07	6.736e-06
chr3	79018634	79019620	42.5	2.2	4.171e-07	7.337e-06
chr1	155126871	155128372	84.2	1.5	2.954e-07	7.409e-06
chr1	32250654	32253460	322	-0.7	4.350e-07	7.578e-06
chr7	27172672	27174754	647.3	0.5	1.364e-07	7.578e-06
chr20	64316208	64317141	55.5	1.8	4.367e-07	7.641e-06
chrX	138710928	138712245	44	2.1	4.434e-07	7.809e-06
chr2	31137603	31138815	75.8	1.5	4.571e-07	7.853e-06
chr7	20215203	20218405	375.4	-0.7	4.183e-07	7.853e-06
chr16	49854728	49856175	398.8	0.7	4.614e-07	7.984e-06
chr2	229713496	229715033	101	1.4	4.037e-07	8.008e-06
chr14	64971474	64973100	315	0.7	4.385e-07	8.108e-06
chr18	12656864	12658850	895.3	0.5	1.423e-07	8.151e-06
chr22	41914633	41915145	28.6	2.9	4.702e-07	8.202e-06
chr2	174332703	174334283	124.7	1.2	3.335e-07	8.228e-06
chr2	101696688	101700201	376.5	0.7	4.434e-07	8.236e-06
chr20	46307529	46308584	27.5	3.2	4.399e-07	8.324e-06
chr2	25041531	25043109	196	0.9	4.871e-07	8.336e-06
chr13	28100010	28101062	66.7	1.7	4.981e-07	8.439e-06
chr3	14401768	14406626	1634.8	-0.3	3.541e-07	8.439e-06
chr7	42888180	42889181	108.6	1.3	3.854e-07	8.508e-06
chr19	2093387	2097959	761.5	-0.5	8.850e-08	8.709e-06
chr9	131096143	131097226	54.9	1.9	4.661e-07	8.749e-06
chr20	44745568	44746612	246.4	0.8	4.880e-07	8.809e-06
chr10	45371270	45376265	2077.8	-0.3	3.755e-07	8.913e-06
chr18	24013876	24015642	700.3	0.5	9.124e-08	8.931e-06
chr12	50220190	50223347	361.1	-0.7	5.349e-07	9.045e-06
chr6	148746369	148747895	72.2	1.6	5.207e-07	9.054e-06
chr1	26161459	26162155	46.7	2	5.454e-07	9.122e-06
chr18	58962891	58966407	329.8	-0.7	5.053e-07	9.210e-06
chr7	100896615	100897443	46	2	4.959e-07	9.210e-06
chr4	80201879	80203655	400.5	0.6	5.616e-07	9.434e-06
chr3	50340244	50341457	128.3	1.1	5.568e-07	9.448e-06
chr17	58531452	58532502	182.7	1	5.838e-07	9.782e-06
chr1	212683060	212684130	52.2	1.9	5.927e-07	9.835e-06
chr2	62194655	62200109	1922.1	-0.3	4.186e-07	9.948e-06
chr3	45225183	45226780	79.9	1.5	5.454e-07	1.005e-05
chr17	78184924	78190912	1246.5	-0.4	2.762e-07	1.008e-05
chr5	142356392	142357724	192.9	0.9	6.175e-07	1.032e-05
chr22	28799325	28801239	506	0.6	3.570e-07	1.040e-05
chr2	70094410	70095325	58.2	-2	6.330e-07	1.057e-05
chr5	142324330	142325477	62.9	1.7	6.479e-07	1.065e-05
chr2	215435336	215437097	353.1	0.7	6.689e-07	1.076e-05
chr1	201170389	201171988	311.4	0.7	6.517e-07	1.078e-05
chr3	119034169	119035376	192.2	0.9	6.556e-07	1.087e-05
chr12	123148155	123152419	1501.8	-0.3	4.749e-07	1.097e-05
chr15	52111959	52112803	120.9	1.2	5.916e-07	1.119e-05
chr11	64742101	64746400	1020.7	0.4	2.157e-07	1.122e-05
chr5	143395389	143406096	3043.7	-0.2	4.890e-07	1.125e-05
chr12	11752176	11759603	977.8	-0.5	1.992e-07	1.144e-05
chr21	44913643	44914546	33.4	2.5	6.802e-07	1.148e-05
chr12	57620851	57621956	71.5	1.6	5.454e-07	1.156e-05
chr6	43454580	43456178	134.4	1.1	6.873e-07	1.157e-05
chr1	154760354	154761045	84.9	1.4	6.916e-07	1.161e-05
chr1	204151474	204152566	78.7	1.5	5.497e-07	1.161e-05
chr5	176817615	176818450	67.9	1.7	6.474e-07	1.164e-05
chr11	67467110	67469832	765.2	-0.5	1.245e-07	1.170e-05
chr7	43758002	43759415	345.5	0.7	7.248e-07	1.182e-05
chr7	127253249	127254196	210.2	0.9	7.105e-07	1.209e-05
chr7	157009191	157011867	1011.1	0.4	2.272e-07	1.212e-05
chr14_GL000225v1_random	104017	104441	41.1	2.2	6.900e-07	1.233e-05
chr10	5665662	5667148	208	0.9	7.193e-07	1.246e-05
chr7	44309500	44310265	90.9	1.4	6.013e-07	1.257e-05
chr2	17877845	17879203	217.2	0.9	7.498e-07	1.268e-05
chr10	110496409	110499667	890.9	0.4	2.475e-07	1.269e-05
chr1	31181497	31182664	113.1	1.2	7.855e-07	1.277e-05
chr17	863198	864760	368.6	0.7	8.000e-07	1.288e-05
chr5	151020305	151021253	74.8	1.5	7.979e-07	1.288e-05
chr13	112968243	112970114	525.9	0.6	4.642e-07	1.293e-05
chr14_GL000225v1_random	78697	79343	59.9	1.8	7.433e-07	1.313e-05
chr6	42451067	42453879	549.3	0.6	4.701e-07	1.316e-05
chr2	101150609	101152050	170.5	1	8.464e-07	1.351e-05
chr20	47407391	47409352	44.6	-2.1	8.261e-07	1.356e-05
chr4	73616843	73620941	338.7	-0.7	8.687e-07	1.382e-05
chr4	101696871	101699982	115	-1.2	6.713e-07	1.382e-05
chr4	2930913	2932601	119	1.2	7.587e-07	1.383e-05
chr7	90595537	90597577	626.8	0.5	5.099e-07	1.395e-05
chr22	31288967	31293421	1245	-0.4	2.554e-07	1.415e-05
chr10	28677018	28678426	166.8	1	8.539e-07	1.416e-05
chr5	157670690	157672000	326.7	0.7	9.216e-07	1.416e-05
chr1	8875415	8879863	1995	-0.3	6.444e-07	1.423e-05
chr15	68577826	68578935	50.5	1.9	8.979e-07	1.423e-05
chr19	42129685	42133673	1092	-0.4	2.884e-07	1.446e-05
chr6	170295197	170296446	247.5	0.8	9.199e-07	1.446e-05
chr12	104456260	104459145	648.7	0.5	4.276e-07	1.476e-05
chr7	101813882	101823841	3585.1	-0.2	6.728e-07	1.477e-05
chr17	80263177	80264807	146.7	1	9.280e-07	1.497e-05
chr1	32702454	32703292	50	1.9	7.395e-07	1.497e-05
