TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
CA13	1.42228	1.24612	1.43377	1.2644	1.45101	1.57511	1.06862	1.20789	1.36487
CA14	0.91215	0.613484	0.742645	0.319818	0.438791	0.457095	0.414365	0.380154	0.364281
CA2	0.670239	0.644212	0.606458	0.732604	0.921453	1.54407	1.28348	1.49021	1.60632
CA3	0	0	0	0	0	0.0197485	0	0.0251837	0
CA4	0.0483055	0	0	0	0	0.0316526	0	0	0
CA5A	0.415624	0.162124	0.247545	0.448334	0.57562	0.647137	0.639696	0.739204	0.499293
CA5B	2.03574	2.38601	2.38798	1.78594	1.7627	2.34191	1.76038	1.67574	1.87496
CA5BP1	8.70837	8.7231	6.85325	6.44552	5.71724	6.99266	4.63316	6.03028	6.29565
CA6	0	0	0	0	0	0.0377059	0	0	0
CA7	0	0	0.0703151	0.0330305	0.0586605	0.0874795	0.1595579	0.287997	0.3642722
CA8	0.272486	0.211064	0.153884	0.477231	0.55823	0.652358	0.556255	0.642585	0.543587
CA9	0.792921	0.294586	0.30426	0.428779	0.263592	0.405838	0.258595	0.115033	0.24795
CAAP1	17.33498	14.47841	13.47781	11.62541	10.19355	11.18708	7.65354	9.10273	9.45331
CAB39	39.125603	32.238261	30.65212	28.93236213	24.593390583902	24.906032	19.14655	20.5399	19.8165765
CAB39L	0.7403409	0.6943058	0.745703	0.518871	0.5775278	0.541237	0.4162973	0.4617347	0.581696
CABIN1	12.453385	10.213365	9.939429	9.662433	8.393218	10.515747	8.063564	8.423681	9.4057
CABLES1	27.876597	24.522788	23.523873	28.7223854	28.686448	31.3551	28.0609927	29.0782055	31.5606665
CABLES2	6.319	5.20141	4.64457	5.11739	4.62851	5.09005	3.36376	3.40809	3.99954
CABP1	0.1333828	0.041669	0	0.0318385	0.113079	0.105032	0.0680744	0.138791	0.3326599
CABP2	0	0	0	0	0	0	0	0.0504644	0.0723932
CABP4	1.1996	1.94815	2.10236	1.83325	1.86142	1.88003	1.51503	1.49541	1.84043
CABP5	0.042954	0	0.0565419	0	0.0270375	0.103241	0	0.129695	0
CABP7	0.0546986	0.112009	0.13561	0.0866915	0.0772406	0.130458	0.0989598	0.166905	0.220076
CABS1	0	0	0	0	0	0	0	0	0
CABYR	0.351748	0.2446255127	0.3293409	0.490327	0.512594277145	0.4599886	0.555265902078	0.706416	0.698293261226
CACFD1	1.20238022	1.6779090006211	1.5370190690667	1.083483	1.260732	1.32142	1.402271	1.591089	1.5889154491417
CACHD1	0.837693	0.697638	0.611121	0.592452	0.453697	0.53982	0.530332	0.578257	0.438651
CACNA1A	0.9294640405	0.6826870894	0.6504286	0.971639272	0.840879544947	0.8846836	0.656768322933	0.704733032142	0.8261701024
CACNA1B	0.0259728	0.00786812	0.024285600124555	0.0194496	0.0175413	0.040339300090871	0.0378339	0.0338514000836873	0.048717200074238
CACNA1C	0.0072423248489335	0.0082960859251	0.01223125570933	0.020702509049546	0.01219387127	0.00943044131019	0.0024552136075122	0.01801419811472	0.012969759290276
CACNA1C-AS1	0	0	0.0157459	0.022196	0.0393938	0.0151707	0	0	0.0278105
CACNA1C-AS4	0	0	0	0	0	0	0	0	0
CACNA1C-IT3	0	0	0	0	0	0	0	0	0
CACNA1D	1.383025	1.284277	1.047403	1.181033	1.10515099053	1.058395	0.709462898	0.90499577	0.8304516
CACNA1E	0.00326625613219	0.00251799297627	0	0.0062251231264	0	0.0085074297177	0.01544498272	0.0054169407159	0.00385169
CACNA1F	0.0409543989	0.056898882	0.060925294	0.054672953	0.0482056	0.053373235	0.0693566	0.081583088	0.0915705
CACNA1G	0.0369571843651366	0.0198949609092	0.0174324851147	0.029359236347587	0.0490384817893	0.0503973	0.069339385	0.106982933136	0.1431110376887
CACNA1G-AS1	0.113232	0.0880302	0.0512732	0	0.0320844	0.0493914	0.103012	0	0.0905239
CACNA1H	0.00608563	0.009389193	0.008227113	0	0	0.01189257	0.02890016	0.010097904	0.01453767
CACNA1I	0.0098897063721	0	0.016710688233	0	0.0041782640123	0.009662239999	0.0033541387117	0.016407421626	0.023622855359
CACNA1S	0	0	0	0	0	0	0.0380652	0.019951	0.0287191
CACNA2D1	0	0	0	0	0	0	0	0	0
CACNA2D2	0.130159795	0.157774	0.125645	0.28372062	0.15723348	0.290581	0.27760039	0.4007775	0.4110407
CACNA2D3	0	0	0	0	0.0115864	0.00892772	0	0	0
CACNA2D3-AS1	0	0	0	0	0	0	0	0	0.0300178
CACNA2D4	0.148593	0.114723	0.125621	0.0974267	0.102096	0.193683	0.10087	0.0539709	0.133172
CACNB1	4.05024000039209	3.43184	3.321646	2.804025	2.204042	2.368853	1.584526	1.635634	2.122789
CACNB2	1.27805461821	1.431056082468	1.113405364573	1.25808721	1.03469479	1.34252534	0.952847604369	1.12481203	1.2016671
CACNB3	1.397829	1.195922	1.0863	1.305114	1.160087	1.3029620788459	1.196792	1.223038	1.407061
CACNB4	0.161141458893062	0.10041003119463	0.0597021	0.088625996764541	0.09428558216987	0.134878106762843	0.09671288009928	0.11313135610324	0.13325741160668
CACNG1	0	0.096838	0	0	0.10586	0.0271559	0.0566455	0.0346498	0
CACNG2	0.187532	0.153367	0.156716	0.126273	0.177298	0.158204	0.202251	0.183224	0.197772
CACNG3	0.208085	0.102474	0.0768742	0.0180627	0.048075	0.160484	0.0385907	0.0944006	0.0678954
CACNG4	0	0	0	0	0	0	0.0299964	0.0244581	0
CACNG5	0	0	0	0	0	0	0	0	0
CACNG6	0	0	0	0	0	0	0.0221826	0	0.0389981
CACNG7	0	0	0	0	0	0	0.0149765	0	0
CACNG8	0.910452	1.13985	1.14263	1.0071	0.86215	1.15369	0.834633	0.867344	1.06565
CACTIN	9.25665	8.67084	8.67109	7.98994	7.2119	8.49995	6.36048	7.22158	7.8592
CACTIN-AS1	0.7302	0.378084	0.278101	0.353997	0.12929	0.328845	0.379797	0.292276	0.384892
CACUL1	8.74667	7.56151	7.43073	6.44768	6.09179	6.5277	5.31785	5.55865	5.8472
CACYBP	39.86482	34.00803	32.15618	22.42244	19.628178	19.198593	13.4566	15.367354	15.06191
CAD	47.5253	39.9915	40.282	32.5745	29.6005	29.2975	19.2672	19.5494	20.6437
CADM1	4.00189	2.471415	2.652492	2.549209	2.411415	2.436317	2.754459	2.897118	2.746404
CADM2	0.038371111806832	0.08055832520811	0.04822111502731	0.047022932761683	0.0700575534162	0.06058416333274	0.041091141279903	0.04998009970434	0.04576373845358
CADM2-AS2	3.86179	3.28033	2.9087	3.86755	4.04966	4.66759	4.38804	2.9176	3.79936
CADM3	0.0424712	0.0328292	0.038327	0.0270195	0	0.0184655	0.0288562	0.0235282	0.0507821
CADM4	15.0282	15.9318	15.538	11.7832	9.87029	10.3592	5.39018	6.55336	6.68222
CADPS	0.0189319	0	0.00640218	0	0	0.00616933	0	0.0078589	0
CADPS2	0.00839765	0.00646967	0.00566817	0.00803189	0	0.00548312	0.00570284	0.00694749	0
CAGE1	0.0892873	0.143204	0.141903	0.242191	0.138645	0.22512	0.161611	0.2115	0.25619
CAHM	0.528501	0.413742	0.766089	0.888402	0.620888	0.433951	0.815501	0.942498	1.11302
CALB1	0.0202873	0.015705	0.0687173	0.0387493	0.0171903	0.0397256	0.0137989	0.0506331	0.0242756
CALB2	0	0	0	0	0.0335955	0.0258567	0.0808969	0.0659777	0
CALCA	0	0.0612797	0	0	0.0541876	0.1402849	0.0434945	0	0
CALCB	0	0.0860438	0	0.0528566	0.0939812	0.108423	0.188575	0.276882	0.132444
CALCOCO1	5.8222	4.78828	4.473719	7.657735	8.134059	9.12177	10.08064	10.74694	11.12008
CALCOCO2	6.243262	4.737857	5.1516808	5.96542	5.536215	6.425328	5.478401	6.071654	5.66256
CALCR	0	0	0	0	0	0	0	0	0
CALCRL	0.2275785	0.136347	0.1303130226066	0.222045	0.23087981	0.219757	0.212538	0.186614	0.307001
CALD1	0	0.00919396	0.032093	0.00905092	0.0240768	0.0152238	0.012885	0.0393953	0.0226813
CALHM1	0.382108	0.375178	0.430518	0.301315	0.393899	0.32515	0.248437	0.290479	0.301086
CALHM2	1.65386	1.83382265326	1.7407	1.79919	1.379304	1.65049000372866	1.227236	1.1167	1.24273
CALHM3	0	0.0250112	0.0437261	0.0616243	0.0273569	0.0631861	0.153711	0.134308	0.0772106
CALM1	60.1003	48.4439	48.1269	35.7797	31.8199	31.6368	23.5641	26.5355	26.8257
CALM2	207.449	169.862	160.952	132.523	113.827	109.517	83.6944	94.7317	96.1906
CALM3	129.455	115.454	117.935	94.2976	87.3692	90.8716	63.8639	70.6776	75.2013
CALML3	0	0	0	0	0.0715668	0.0275375	0.0287215	0.0702757	0.0504673
CALML4	1.8821915356	1.518229	1.60793	1.610698088	1.290679	1.52137868672	1.370612	1.227871	1.28546
CALML5	0	0	0	0	0	0	0	0	0
CALML6	0.0510174	0.0795839	0.138888	0.48912	0.652104	0.836054	0.976999	0.683071	0.857928
CALN1	0.1937333	0.2000575	0.200343	0.181717	0.151247	0.207481	0.164193	0.152421	0.18945
CALR	306.845	260.844	262.432	214.436	190.547	198.545	139	152.733	158.442
CALR3	0.0424325	0.165132	0.0576833	0.0812744	0.0722022	0	0.202835	0.1418	0.0509142
CALU	16.215646037	12.3878834	12.0513986	11.4534622	11.2721734005	11.554126	8.5918702	9.5123998	9.998128
CALY	0	0	0	0	0	0.0765162	0.0399296	0.0488583	0
CAMK1	4.25695	3.44833	4.0823	3.41765	4.0774	3.94101	2.3131	2.40823	3.2007
CAMK1D	19.6741	17.53511	18.05807	17.35875	17.94345	19.46877	18.07712	18.89678	20.86636
CAMK1G	0	0	0	0.019887	0	0	0.0141642	0	0
CAMK2A	0.1021687596	0.1104573356	0.110573264	0.1071940107	0.0864128188	0.1065506756	0.1248612369	0.118769981	0.0732609818
CAMK2B	0.488959858191	0.425134213169245	0.516791	0.570222000236207	0.49771178479	0.4833687	0.3740648	0.47657080489	0.48733618658
CAMK2D	25.866453	19.991589	19.190254	24.404803	22.557541	23.916052	21.463248	24.197091	25.851743
CAMK2G	4.731374	3.71782	3.3191611	3.427832	3.544309	3.6211505	3.045085	2.962996	3.350315
CAMK2N1	1.82363	1.79104	1.80401	2.79414	3.23999	3.77602	2.79738	3.74816	3.31433
CAMK2N2	0.160136	0.373696	0.326419	0.229972	0.272365	0.20962	0.136634	0.434602	0.24011
CAMK4	0.670199	0.375956	0.454214	0.375335	0.450627	0.437621	0.503264	0.538624	0.580929
CAMKK1	1.536369	1.262501	1.591743	1.998887	1.5597138	2.151337	2.130698	2.2264270616865	2.139414
CAMKK2	10.9190297769	9.1996442939157	9.21266862	6.95720052121	5.68890627	5.8455786	3.4676143	3.5473804093	3.93202551299325
CAMKMT	3.58282	2.64936	2.64282	2.14235	2.19502	2.27557	2.5371	2.09783	2.43642
CAMKV	0.754894	0.570911	0.613352	0.560479	0.369341	0.295495	0.330688	0.237095	0.341098
CAMLG	9.16048	8.93331	8.80264	8.55029	7.49653	9.10161	7.09287	6.9737	7.87412
CAMP	0	0	0	0	0	0	0	0	0
CAMSAP1	9.71762	7.48746	7.13576	6.59804	6.31797	5.98648	5.15923	5.88168	5.77325
CAMSAP2	7.03629	5.56849	5.31818	4.88279	4.62888	4.66695	3.35244	3.57765	3.91878
CAMSAP3	0.47589	0.480807	0.388046	0.407452	0.320053	0.457412	0.507952	0.456119	0.594658
CAMTA1	31.3907796	20.91046334	20.8311489	17.2925864	15.8812623	15.2374014	11.3410018	14.5207056	12.915144
CAMTA2	8.75114	8.195686	8.369372	8.847214	8.50184	10.96928	8.10763	8.36651	9.51694
CAND1	38.3392	30.0202	29.2447	23.1592	21.0441	20.4757	16.9102	18.1989	18.5516
CAND2	5.40811	4.743362	4.4063624	4.1228	3.836052	4.090244	2.385602	2.37184	2.904389
CANT1	13.61568	10.72094	11.06907	10.504	10.02853	9.68225	7.09847	7.70555	8.59442
CANX	137.8535	108.4233	104.6418	84.46671	73.92539	73.43858	53.6296	59.34772	62.8986
CAP1	56.0689	43.90184	43.86522	37.0944	33.5828	32.82085	23.3203	25.26556	26.40843
CAP2	0.0671251	0.0519191	0.0568117	0.0320385	0.156314	0.197066	0.0570351	0.181371	0.260931
CAPG	38.84	35.5175	35.347305	31.17061	25.77956	27.64791	19.51332	22.62247	23.00606
CAPN1	38.83904	34.6383	33.66829	32.90475	31.68774	30.3688	24.12794	25.24698	26.189346
CAPN10	9.58595	9.593544	9.64114	9.5419900829617	8.46575	9.45367	8.38914	8.52116000079472	9.75027
CAPN11	0.0187328	0	0.0253749	0.0357732	0.0158686	0.0244492	0.0127381	0.0778995	0
CAPN12	1.22898	1.04104	1.27835	1.07861	0.599697	0.976326	0.830331	0.85166	0.867742
CAPN13	0	0	0.0129244	0	0	0	0	0	0
CAPN14	0.210259	0.152329	0.195642	0.225697	0.111206	0.188518	0.205318	0.0873424	0.172818
CAPN2	8.79641	7.42192	7.45308	7.49027	6.21673	6.67643	4.71359	5.01594	4.29694
CAPN3	3.30814800413917	2.2450478766182	2.8313662855534	3.5553140209803	3.4737620625834	4.4416930653508	3.435862932339	3.6983151783275	4.2456970267973
CAPN5	0.659917	0.430654	0.492641	0.629522	0.385011	0.489547	0.401783	0.529182	0.557585
CAPN6	0	0	0	0	0	0	0.00951775	0	0
CAPN7	9.67597	7.17394	7.2658	7.9211	7.37286	7.68733	6.43889	7.23835	7.27285
CAPN8	0	0	0	0	0.0210098	0.0161808	0.0505938	0.0618852	0.0296616
CAPN9	0	0	0	0	0	0.0142598	0.0281573	0	0
CAPNS1	130.2364	101.8144	99.0537	92.1709	83.5098	84.5581	54.52244	60.1308	62.211
CAPNS2	0	0	0	0	0	0	0	0	0
CAPRIN1	96.0776	72.7152	72.2036	58.0207	51.6175	51.8877	37.7421	40.633	43.6487
CAPRIN2	2.44298200051453	1.873284	1.539432	2.007344	1.7372402	2.0230200679275	2.041588	2.231599	2.206521
CAPS	2.191968	2.36973	2.28204	3.87087	3.521564	4.204748	4.29645	4.594964	4.96916
CAPS2	0.170441	0.150942	0.13204	0.0930613	0.123883	0.127214	0.132588	0.121633	0.116601
CAPSL	0	0	0	0	0	0	0	0	0
CAPZA1	120.377	92.2414	89.9768	74.6672	67.6802	65.4864	50.1061	54.1979	59.247
CAPZA2	47.6363	39.5711	36.9535	32.5109	27.2331	26.9247	21.1897	23.6214	22.307
CAPZA3	0	0	0	0	0	0	0	0	0
CAPZB	79.21603	65.526109	61.14158	55.90625	51.233366	51.49493	34.883483	42.134826	43.880064
CARD10	0.231674	0.198913	0.156771	0.0982423	0.141586	0.268555	0.25354	0.139004	0.215417
CARD11	51.2328	43.3633	42.1484	42.0322	37.4298	42.3844	27.7513	29.9913	31.9882
CARD14	0.1195556	0.3037021	0.2958052	0.477158	0.3376	0.5394311	0.452586	0.425677	0.5040897312
CARD16	2.63442	2.085685	1.737135	1.390922	2.67769	3.24291	1.896184	1.995574	1.87038
CARD17	0	0	0	0	0	0	0	0	0
CARD18	0	0	0	0	0	0	0	0	0
CARD6	0.546747	0.596987	0.595457	0.932599	0.761935	0.919169	0.630355	0.791598	0.80308
CARD8	10.42424077	9.357984	8.759102	13.062639	11.8515935007	12.437064	9.825047426	10.511138	10.410245
CARD9	0.955398	0.835278	0.797091	0.468156	0.727079	0.703963	0.767053	0.652688	0.703888
CARHSP1	9.884117	9.73874	10.294143	7.968651	9.57314	9.205625	7.91507	8.68322	9.58409
CARKD	14.5045	12.820779	12.215458	12.263439	11.51465	11.799097	10.977465	11.735737	12.193812
CARM1	48.1622	37.7906	37.0504	28.5252	24.9206	26.8519	17.2227	18.0074	19.8721
CARNS1	0.394702	0.442585	0.478945	0.631788913	0.665116059	0.619156000311891	0.611506488	0.692237333	0.70015
CARS	80.35121	64.37571	63.34807	69.6992	66.12319	66.37426	52.36542	54.81305	58.54055
CARS2	25.5638	22.0191	20.9023	18.1465	16.9229	17.6641	15.5079	15.298	15.5974
CARTPT	0	0	0	0	0	0	0	0	0
CASC1	0.3716171	0.276567	0.257102406	0.3339649	0.3280278	0.393426	0.242969	0.334335	0.321063075
CASC2	0.2256328	0.133255	0.131173	0.328736	0.21877	0.2849568	0.3282761	0.268492	0.360404
CASC3	22.4038	18.2356	18.0814	18.3181	17.3414	18.4725	13.8382	14.6	16.0494
CASC4	18.15317	14.19685	14.96784	14.41776	11.85612	12.90021	9.95738	10.91584	10.79595
CASC5	13.223367	9.88729	9.56218	8.00625	7.198413	7.2808	4.642304	5.21344	5.224512
CASD1	4.42546	3.56974	3.87907	4.61755	3.9967	4.25252	3.51594	3.91307	4.22323
CASK	1.826971	1.681833	1.339881	1.2942	1.2888	1.270729	1.300856	1.302603	1.321551
CASKIN1	0.276598	0.320185	0.291429	0.304377	0.415537	0.481316	0.446346	0.465584	0.644861
CASKIN2	0.389823	0.33943	0.378762	0.457928	0.41446	0.404636	0.462123	0.597921	0.4828397
CASP1	3.1346713	2.485962	2.2097405	2.573968	2.808259	3.0144693	2.393338	2.067128	2.392115
CASP10	4.71897967	4.1339424509	4.213190627	5.57540604	4.77538909875	5.7662317326	4.510858	4.3761665282	5.181672005
CASP12	0	0	0	0	0	0.057571	0	0	0
CASP14	0.67172	0.813719	1.07774	0.838908	0.671026	0.899712	0.467406	0.631382	0.774722
CASP2	19.81905	17.4526	16.55634	14.30175	14.46014	14.39021	12.25405	13.11435	14.99277
CASP3	32.6909	26.7677	23.8827	21.43693	17.73252	17.75675	13.99944	15.08642	15.87522
CASP4	2.232707	2.6446	1.85905	2.81785	2.391739	3.01169	2.23556	2.42338	2.8658
CASP5	0	0	0	0.035676	0.0474291	0	0	0	0
CASP6	7.510508	6.240833	7.018	6.519905	6.052425	6.228178	4.76026	5.033393	5.43982
CASP7	9.233275	6.5836097	6.639668	7.44602023	7.1122756	6.979927	6.2060688	6.867991	7.534979
CASP8	16.97412	15.21209	13.81926	14.054388	13.41516	15.590656	12.271937	13.894767	13.1021
CASP8AP2	6.11185	4.93480959	4.67323859	4.723815866	4.19034000478655	4.84321	3.74038	4.19219	4.72535
CASP9	6.185668	5.59385	5.98148	4.28542	4.12847	4.73035	3.480247	3.648659	3.30204
CASQ1	0.0267417	0.0207341	0.0544006	0.051119	0.0907446	0.0349407	0.0546301	0.0222746	0.0640489
CASQ2	0.0189391	0.0146565	0.0128275	0.0542521	0	0.0247191	0.0128788	0.0157521	0.0453171
CASR	0	0	0	0.0096547	0	0.00646714	0.00687251	0.00840501	0.0120972
CASS4	0.9213471	0.588314300061	0.706607	0.67392	0.560989	0.698800015555	0.5050760305121	0.4875900104	0.588918436112
CAST	26.44511	21.344869	19.546286	18.790797	16.735642	17.725184	15.128858	16.53054	17.463848
CASZ1	2.006305	2.055589	1.71512	2.63411	2.194642	2.75041	2.40253	2.238094	2.83104
CAT	26.3846	19.8441	20.667	17.9695	18.0983	18.3861	14.9558	16.9278	18.2917
CATSPER1	0	0	0	0	0	0.0255346	0.0266079	0.0162722	0.0234058
CATSPER2	0.61501339	0.55114884	0.429478	0.54145376	0.52358512	0.557179	0.42929265	0.34196091	0.46182867
CATSPER2P1	0.117703	0.175118	0.293709	0.502964	0.120004	0.435663	0.365329	0.172008	0.367389
CATSPER3	0.119408	0.154797	0.135217	0.304846	0.0676944	0.312602	0.10867	0.0997082	0.238714
CATSPER4	0	0	0	0	0	0	0	0	0
CATSPERB	0	0	0	0	0	0	0.0189746	0.0116034	0.0166963
CATSPERD	0.0204423	0.0158256	0.0553951	0.0390461	0.0173221	0.0800599	0.0695235	0.153064	0.195692
CATSPERG	0.148524	0.271315	0.173615	0.257676	0.308525	0.32578	0.3027	0.426304	0.322861
CAV1	12.886752	9.236697	9.59447	9.18216	8.2470317	8.7736967	8.4723869	10.201365	10.36333
CAV2	4.930426	4.3741000321249	4.469322954	4.05255	3.886585	4.181408	2.869498	3.295926	3.5618185632
CAV3	0	0.0318088	0	0	0	0	0	0	0
CBFA2T2	2.910528	2.698374	2.594218	2.844269	2.68302	3.199631	2.5563353	2.82629200016892	2.833047
CBFA2T3	15.31017	12.72963	12.20628	9.05274	8.95156	10.95023	9.12636	10.14253	11.05587
CBFB	30.6817	24.32993	24.11425	20.47972	17.74924	19.56699	13.6874	14.58573	15.96369
CBL	5.99479	5.7878	5.33774	5.37252	4.73222	5.63659	4.16416	4.55049	4.92068
CBLB	3.97255	3.3911	3.00381	4.77682	5.36756	6.20825	6.47596	7.07164	7.44763
CBLC	0.111484	0.173319	0.0455954	0.0642568	0.0631719	0.145876	0.0253529	0.140057	0.0891205
CBLL1	12.360244	9.00904	9.17951	8.470583	7.67445	7.711935	5.790758	5.816224	6.21195
CBLN1	0	0	0	0	0	0	0	0	0
CBLN2	0.0175967	0.0408396	0.0595796	0.0167994	0	0.0229628	0.0119631	0	0.021049
CBLN3	2.77476	2.52414	2.99942	3.49195	3.39722	3.5225	3.31133	3.64704	4.19075
CBLN4	0	0	0	0	0	0.0106505	0	0	0
CBR1	10.3325	10.2156	10.6154	7.90755	5.75494	5.9372	3.11594	3.22229	3.56095
CBR3	0.151289	0.19664	0.308871	0.386761	0.472651	0.69414	1.00013	0.632932	1.21141
CBR3-AS1	0.371672	0.349704	0.281471	0.230578	0.435765	0.4311284	0.327877	0.564019	0.682109
CBR4	7.07169	6.25704	6.23891	5.36036	4.94948	5.47622	4.42326	5.5415	4.4948
CBS	0.175453	0.203817	0.178333	0.146646	0.278839	0.1826095642	0.3533928343	0.3658681299	0.3108573175
CBWD1	30.20946	26.7321	25.5787	23.36855	19.94486	21.72359	16.021478	17.765213	19.44194
CBWD2	12.1226	10.2466	9.31504	10.9561	8.9914	8.74285	7.31423	6.7024	7.25756
CBWD3	25.36548	20.74936	19.37456	18.83497	18.26964	20.14007	13.9636	15.35191	16.17281
CBWD5	0.647575	0.672349	2.00109	2.1483	1.89869	3.03971	2.74804	3.03408	1.84159
CBWD6	5.9283	4.24997	5.68755	5.46707	4.04293	6.09423	4.07838	4.22824	4.47103
CBX1	26.608741	23.206435	23.45451	19.924447	18.05629	18.093155	12.974127	13.157945	14.268995
CBX2	3.378271	2.834811	3.2223	3.701317	3.521913	3.340531	3.183263	4.023412	4.168239
CBX3	80.70977	66.38347	63.11405	48.09109	41.47993	41.01432	28.82544	32.31294	31.80824
CBX3P2	1.98757	2.28336	1.93019	1.87832	2.01857	2.37328	1.92584	2.16162	2.3536
CBX4	18.2337	17.1716	17.0704	27.2027	25.3789	30.095	27.7323	31.9101	35.1382
CBX5	21.09467	18.86491	18.5301	16.46806	15.71497	16.45618	12.7044	13.60797	13.85577
CBX6	19.3052	17.8241	17.4494	14.4065	13.5259	13.0368	7.91173	8.99452	9.49755
CBX7	1.13919	0.899805	0.94215	1.56996	1.9493	1.90648	1.65075	1.68242	1.99739
CBX8	3.91809	3.6633	3.50748	4.57798	4.50704	5.44249	4.46888	5.52465	4.98768
CBY1	2.275538	1.204766	1.459158	2.08543	1.956363	2.311193	1.981862	1.574846	1.844359
CBY3	0.0737507	0	0.151101	0.212734	0.126191	0.436475	0.15193	0.43389	0.266487
CC2D1A	10.2603	9.53345	10.0229	9.52682	9.12843	10.7219	7.58134	7.9854	9.1593
CC2D1B	8.03762	7.19653	6.90122	7.60002	7.01472	7.43661	5.92342	6.40824	6.72089
CC2D2A	3.4686505	3.9498316	3.41067849	3.61817666	3.6479147	4.5238262	3.36205235	3.0679332	3.5204112
CC2D2B	0.117327	0.110732	0.0788024	0.047036	0.0484569	0.111937	0.1648218	0.0475817	0.117864
CCAR1	45.5598	37.2783	35.1277	32.5314	29.2813	36.1821	26.2366	28.6501	30.6485
CCBE1	0.367421	0.512153	0.534375	0.616608	0.691783	0.886024	0.798025	0.72499	0.969594
CCBL1	1.719735	1.967239	1.848439	2.163701	2.058156	2.74476	2.655941	2.815852	2.776467
CCBL2	8.72611	6.88586	6.42213	5.07438	4.89881	5.32647	3.37252	3.92946	3.99881
CCBP2	1.04869	1.24765	1.14128	1.08893	1.16761	1.26848	0.931599	1.00751	0.998055
CCDC101	7.60685	6.0049	6.42772	6.31539	5.81871	7.71494	4.63277	5.79504	6.45794
CCDC102A	4.89675	4.61224	4.02148	3.78615	3.98824	4.1791	3.57634	3.98629	3.39935
CCDC102B	0.2571215	0.28018	0.147141	0.363023	0.292979	0.4881317	0.395541	0.680876	0.546653
CCDC103	0.27767728813	0.26101	0.1884095317638	0.17305112193	0.0785809663	0.118715	0.2057592	0.101272931055623	0.21899617
CCDC104	5.69328	4.98893	4.50021	4.03868	3.83896	3.53412	3.4269	3.8754	3.89624
CCDC105	0	0	0	0	0	0	0	0	0
CCDC106	48.188	42.3838	44.971	39.8339	37.47	41.4577	28.0933	29.4452	33.0321
CCDC107	8.113403	7.029864	5.943836	7.20844	6.691114	6.36303	6.307798	6.072757	7.691776
CCDC108	0.14579613	0.141988	0.15528	0.109445	0.135968	0.1509141	0.1516214	0.1282409	0.09221942
CCDC109B	15.8668	13.2579	13.6289	9.49799	10.6394	9.17537	6.86115	6.73684	7.08825
CCDC11	0.780062	0.918912	0.921081	0.911509	0.465867	0.906252	1.06279	0.987069	0.934412
CCDC110	0.334093	0.2856681915	0.285464	0.369316	0.51227	0.34419	0.406446	0.365528	0.4417072114
CCDC111	2.32961	2.42274	2.23498	2.72285	2.3699	3.31488	2.88647	3.28199	3.28873
CCDC112	5.013517	3.897326	4.327123	3.571596	2.868472	3.94109	2.790724	2.850364	2.852402
CCDC113	4.35538	4.18235	4.125223	3.61971	3.76322	3.664696	2.617297	2.72995	2.788184
CCDC114	0.689866	0.915436	0.834672	0.715489	0.799324	0.915918	0.722949	0.735044	0.82522
CCDC115	7.64364	5.98495	6.70427	6.75334	5.74852	6.7551	5.65185	6.6167	7.21937
CCDC116	0.0236668	0	0.032082	0.0678352	0.0200663	0.0463648	0.0966437	0.0591055	0.084994
CCDC117	23.8401	18.8645	18.1989	15.936	14.9025	14.2084	10.5699	11.0396	12.5124
CCDC12	18.0675	20.0148	18.714	16.365	14.9102	16.7266	11.8439	12.5368	12.5895
CCDC120	2.835381002	2.759203	2.8270696298	2.7141585	2.457236	2.801113791	2.27105	2.4894330051	2.22975783941
CCDC121	0.591694161	0.515019	0.607086	0.458968	0.434481	0.530845	0.3739529	0.565445	0.4975261
CCDC122	0.798666	0.87197	1.07009	1.00314	0.966461	1.45598	0.985437	1.51247	1.78071
CCDC124	60.9735	59.9016	58.2884	49.0926	41.7075	49.8173	28.9922	35.0931	35.2468
CCDC125	3.42231	3.30598	3.26997	3.18353	3.14376	3.81862	2.57481	2.78405	3.07354
CCDC126	10.9592	9.41866	7.94603	7.52737	6.78464	6.67862	3.70619	4.36011	4.40466
CCDC127	10.2098	6.39314	7.00122	7.38305	5.86747	6.87568	5.47905	6.11161	5.9449
CCDC129	0.164677000214987	0.203509	0.14111	0.335113	0.204308	0.164602	0.141642	0.176159	0.262432
CCDC13	0.0900901	0.097584	0.134222	0.0860127	0.13735	0.105813	0.122504	0.149834	0.301758
CCDC13-AS1	0	0	0	0	0.104617	0.0802277	0	0	0
CCDC130	10.3506	10.0145	9.15246	10.8374	10.2878	12.8947	10.7285	9.61148	11.7393
CCDC132	5.577782	4.422932	4.449449	4.60387	5.254449	5.367468	4.02493	4.5608	5.31245
CCDC134	5.64318	5.66722	6.14944	4.8685	6.15794	5.58489	5.79583	6.58679	5.63449
CCDC135	0.0174881	0	0.0236843	0.033391	0.0296217	0.0456414	0.011889	0.0581649	0.0627565
CCDC136	0.785891	0.708362	0.67849	0.776354	0.7452042	1.040247	0.815638	0.867296	0.947949
