OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
FAM65A	2.085558	1.5725012010945	1.67567634737056	1.951405	1.7256658542	1.798009	2.643462	2.6879	3.432849
FAM65B	29.2247	28.7783	29.3212	29.7865	28.2067	30.5593	39.3807	42.4616	40.0675
FAM65C	0.343196	0.17274	0.523556	0.413494	0.467481	0.502055	0.246813	0.300726	0.310333
FAM66A	0	0	0	0	0	0	0.0844436	0	0
FAM66B	0.115047	0	0.040355	0.0694053	0.0409104	0	0.17458	0.32828	0.145196
FAM66C	0.727644	0.870968	0.611883	0.616784	0.737532	0.532953	0.743149	0.621427	0.999789
FAM66D	0	0	0	0	0	0	0	0.128119	0
FAM66E	0	0	0	0.0106281	0	0	0	0.0523448	0
FAM69A	36.08869	39.26653637648	39.913136	34.037291	40.21274	40.802227	26.170616	26.941939168515	29.0823500034034
FAM69B	3.88389	3.99742	2.85831	2.79163	4.40581	3.74645	3.72551	4.16267	4.43098
FAM69C	0	0	0	0	0	0.0366592	0	0	0
FAM71A	0	0	0	0	0	0	0.234185	0.148762	0.0630576
FAM71B	0	0	0	0	0	0	0	0	0
FAM71C	0	0	0	0	0	0	0.0229238	0	0
FAM71D	0	0	0	0	0	0	0.0240073	0	0.0279995
FAM71E1	0.469942	0.406221	0.391683	0.675888	0.498673	0.464232	1.69455	1.08283	1.90744
FAM71E2	0	0	0	0	0	0	0.129417	0	0.0151062
FAM71F1	0	0	0	0	0	0	0.0251173	0	0.0292917
FAM71F2	0.374535	0.478462	1.545183	0.807618	1.177407	1.65625	1.792527	1.962514	2.75286
FAM72A	25.8546	28.1255	30.5684	23.2181	28.4247	32.7333	15.9377	19.7964	18.3568
FAM72B	26.018	28.4383	28.7146	24.1001	25.7209	28.8797	16.5126	18.0688	16.745
FAM72D	33.8359	38.2412	40.2439	34.3948	37.6922	41.2833	24.9929	26.9255	26.0357
FAM73A	5.54505	4.84368	6.49532	5.35146	6.59213	5.99924	5.92121	5.15093	6.26698
FAM73B	14.7293	13.9178	11.9762	16.119	14.7975	12.82	18.5961	21.2074	20.8425
FAM74A1	0.176444	0.342621	0.121639	0.369294	0	0.241591	2.76898e-08	0.104284	0.300326
FAM74A2	1.11082	0.330984	1.07312	0.854104	0.533508	0.454631	0.52999	0.205118	0.579217
FAM74A3	0.0738543	0	0	0	0.183789	0	0.0693612	0.200149	0.0561506
FAM74A4	0	0	0	0	0	0	0	0	0
FAM76A	11.872249	12.56859	12.105699	11.375914	12.5023009	12.476553	12.8050613	12.618728	14.37957
FAM76B	12.0413	11.9428	14.8782	11.9652	14.723	16.9918	18.5748	19.3289	17.1798
FAM78A	2.86729	2.60165	2.48956	2.56184	2.66122	2.33789	4.42385	4.78006	4.28177
FAM78B	0.221556	0	0.155439	0.190048	0.393941	0.104487	0.0888794	0.244408	0.241771
FAM81A	67.7007	74.6324	77.8261	60.1907	66.7799	72.1195	44.3254	46.3986	47.1183
FAM81B	0.0347672	0.0507555	0	0.0357824	0.11128	0.295123	0.0557877	0.0767166	0.0650461
FAM83A	0.549351	0.563141	0.6250321	0.5420618	0.4984445	0.4870162	0.50629	0.4686678	0.584147
FAM83B	0.638873	0.532466	0.548977	0.462307	0.620249	0.597519	0.37196	0.29802	0.640716
FAM83C	0.385755	0.316346	0.260101	0.20398	0.336907	0.523733	0.266528	0.202513	0.324658
FAM83D	29.5777	26.8908	26.3459	25.331	26.7051	26.3289	19.8821	19.4864	18.5117
FAM83E	1.99994	3.05726	2.02707	2.04038	1.46682	1.62726	1.3443	1.9344	1.39619
FAM83F	0.0255231	0.0745164	0.026871	0	0	0.0361025	0.0409513	0.0281754	0.0238868
FAM83G	8.5703	8.48425	7.48003	8.32433	7.11187	6.72322	7.37137	8.25077	6.96609
FAM83H	7.84579	7.88268	7.37025	8.09831	6.94186	7.29558	8.87632	9.95388	8.6947
FAM84A	0	0.011494	0	0	0	0	0	0	0
FAM84B	0.164684	0.269931	0.119638	0.186107	0.207862	0.226823	0.0477529	0.073082	0.0812429
FAM86A	10.22239	11.23906	11.33183	11.40604	10.07923	10.84366	9.34728	9.11236	8.51513
FAM86B1	0.0791167	0	0.0245417	0.0902051	0.0581749	0.0362168	0.126677	0	0.144311
FAM86B2	0	0.130629	0	0.0466702	0	0	0	0.199395	0
FAM86B3P	7.53711	5.18727	5.19106	5.42407	6.85276	5.9354	5.10395	5.73488	6.14711
FAM86C1	3.23228	3.073328	3.2481866528	3.535285	3.026273916	3.199197	3.413462	3.742922	3.742916
FAM86C2P	0.36893	0.873842	0.322924	0.358488	0.357208	0.562888	0.930376	0.486464	0.63372
FAM86DP	4.24057	4.50825	4.23882	4.00514	4.45607	4.87876	5.17022	5.61935	4.20743
FAM86EP	2.51706	2.05996	1.90168	2.12971	2.1374	2.25991	2.18316	2.48317	2.82679
FAM86FP	0.428994	0.335582	0.724089	0.383888	0.55701	0.354987	0.812509	0.800196	0.745363
FAM86HP	0.902087	0.76348	0.852907	1.14391	0.714469	0.658849	1.6489	1.74475	1.38699
FAM86JP	1.349968	1.74122	1.2886500911143	1.554045	1.204025	1.26325	1.264899	0.863448	1.06775
FAM89A	6.23409	6.38671	7.6733	7.23078	8.12883	7.16949	10.0327	11.3817	9.51406
FAM89B	14.53487	13.702501	12.61268	14.5871	12.14933	12.81297	14.92966	20.54298	17.28467
FAM8A1	8.41355	8.77197	10.028	8.94063	11.3563	12.0629	14.6238	15.2431	15.0429
FAM90A1	0.0828061	0	0.065396	0	0.0220957	0	0	0	0
FAM90A10P	0	0	0	0	0	0	0	0	0
FAM90A25P	0	0	0	0	0	0	0	0	0
FAM90A27P	0	0	0	0	0.308901	0	0	0	0
FAM90A2P	0	0	0	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0	0	0	0
FAM91A1	39.8038	39.6307	42.9081	39.2605	45.9192	47.2338	46.7389	47.3564	49.9957
FAM91A2	20.303657	19.706196	20.43494	20.41805	20.33974	19.143657	32.83739	33.736219	27.90952
FAM92A1	7.2152	5.84975	7.69714	6.48746	7.57777	7.33828	13.5496	14.2978	13.4995
FAM92A1P2	0.649369	0.505745	0.609699	0.513591	0.643773	0.536454	0.423598	0.589194	0.622804
FAM92B	1.17938	0.942815	0.798136	0.895518	1.37839	1.07249	0.720887	1.02279	1.15618
FAM95B1	0.423242	0.617878	0.408314	0.508216	0.376294	0.498992	0.594248	0.350208	0.923794
FAM96A	79.2276	82.9224	99.3904	79.8632	91.7881	95.8755	94.4974	98.3748	91.2704
FAM96B	108.80678	101.52869	98.07417	115.42045	97.62578	96.9825091	117.04671	119.36579	132.58901
FAM98A	41.2817	40.0997	43.6514	43.0636	42.0504	45.8171	27.4553	28.3583	26.4072
FAM98B	13.93313	13.22692	14.42167	14.10547	15.9447	16.76154	17.04092	17.39685	15.82782
FAM98C	13.9564	11.9444	12.1059	11.9845	13.673	10.71	14.3576	15.5825	16.0359
FAM99A	0	0	0	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0	0	0	0
FAM9A	0.215518	0.209753	0.151208	0.258799	0.114965	0.203275	0.115275	0.118881	0.0671982
FAM9B	9.07647	8.28256	10.5117	7.18201	9.9663	12.0812	5.41915	6.19184	5.30146
FAM9C	4.05405	3.44719	4.87446	4.12923	7.36513	5.86267	4.25375	4.8631	4.54026
FAN1	30.128165	28.849807	30.207598	31.100985	31.233936	31.62949	29.083624	30.89491	29.90248
FANCA	39.5983	39.6297	38.168	38.5703	36.304	34.4787	38.7412	42.7384	41.5234
FANCB	11.326152	12.35435	12.48467	12.58896	14.76132	14.34956	13.535092	15.44193	14.71156
FANCC	9.986757	9.987587	9.177003	8.958012	10.600582	10.83539	14.1545	15.05507	14.93445
FANCD2	56.1434	57.35524	58.03382	60.91334	60.74371	64.26582	64.77039	68.45159	70.29089
FANCD2OS	0.895758	0.202116	0.390094	0.7691927	1.188453	0.603508	0.606162	0.0632915	0.40616
FANCE	9.54085	7.73699	8.04761	8.2983	8.28648	8.41699	12.6697	15.2075	14.3094
FANCF	13.1365	13.2875	13.2062	11.8467	13.8636	14.5691	15.2026	16.5411	15.4166
FANCG	28.9555	26.7663	26.7084	29.4064	29.6635	26.297	33.4091	36.553	35.3852
FANCI	96.9993	98.96013	102.81482	108.0935	107.29046	112.36715	108.65177	115.48468	116.1681
FANCL	25.8743	27.37211	25.5323	25.3911	30.3875	28.0378	28.6207	32.9272	29.3701
FANCM	9.77727	10.9305	12.0924	10.5909	12.8014	12.3603	11.2724	12.0121	11.5389
FANK1	0	0	0	0	0	0	0.0344547	0.0947067	0.200766
FAP	0.0186153	0	0	0	0	0	0	0	0
FAR1	32.7506	35.3066	37.8351	35.3362	40.6684	43.0081	45.5195	48.7159	49.3492
FAR2	1.12559	1.38358	1.49747	0.928594	1.23322	1.04724	1.8058	1.70145	1.9277
FARP1	0.419537	0.552628	0.82999	0.557267	0.633657	0.49197	0.599175	0.474873	0.517537
FARP2	1.6467	1.43116	1.77356	1.2256	1.74482	1.72304	1.54159	1.45622	1.49405
FARS2	16.278	16.562	15.8221	18.6874	14.8311	15.9669	18.9022	20.3035	18.87
FARSA	112.476	107.331	114.125	109.253	106.311	110.853	101.63	110.338	102.579
FARSB	95.8067	95.3089	106.175	91.3449	96.3998	106.061	72.8948	72.8374	76.5705
FAS	0.366418	0.48334671733	0.562325	0.915879	0.8411543	0.816199	3.97591	2.81125	3.552256
FAS-AS1	0.105126	0.204627	0.258158	0.324593	0.112159	0.247881	0.646632	0.270626	0.622814
FASLG	0.114835	0.419097	0.120886	0.20675	0.275714	0.324891	0.0786092	0.0316857	0.177216
FASN	16.0441	14.2308	14.0987	15.0264	12.5572	12.8136	9.82846	11.3086	11.0333
FASTK	41.38136	34.51101	33.72526	40.8243	38.286386	34.53753	38.59834	42.92633	40.63992
FASTKD1	21.0074	21.3275	23.3156	19.4098	23.9256	24.5441	18.5162	18.6565	20.6484
FASTKD2	19.06989	20.56297	19.9175	17.68396	21.49915	20.81734	14.92847	16.846838	16.04076
FASTKD3	12.01051	13.40678	15.18304	13.516355	15.21643	17.997854	14.52401	14.588316	14.43317
FASTKD5	19.7938	21.4658	20.2794	17.8568	19.3003	22.8904	15.9741	15.2679	15.809
FAT1	0.183657	0.233944	0.221662	0.298379	0.278142	0.236063	0.192839	0.203017	0.284707
FAT2	0.0949809	0.0495113	0.107227	0.0348405	0.0869394	0.0575538	0.0435328	0.0712452	0.060387
FAT3	0.134203	0.136342	0.138877	0.0998776	0.139487	0.110473	0.101193	0.140022	0.130511
FAT4	0	0	0	0	0	0	0.00245229	0	0.00286466
FATE1	0	0	0	0	0	0	0	0	0
FAU	1004.67	969.285	935.187	986.91	931.08	953.812	844.151	938.203	904.834
FAXC	0	0	0	0.015654	0	0	0	0	0
FBF1	7.54865	6.23035	7.39589	8.8006	8.3401	8.83061	11.2755	12.4581	10.7086
FBL	186.058	200.633	178.051	192.864	175.545	170.976	142.984	162.777	144.387
FBLIM1	2.387895	1.912458	1.955296	1.74983	2.417551	1.691445	2.039727	1.860786	2.224948
FBLL1	0.0543275	0	0.0571359	0.0559857	0	0	0.0435948	0	0
FBLN1	10.9105429	9.05861	10.9073	10.0860424	9.77444	10.0951801	6.2273365	7.45547	8.6356192
FBLN2	0	0	0	0	0	0	0	0	0
FBLN5	2.05108	2.82129	2.03526	1.72361	1.89457	1.92465	1.18657	0.457361	1.12624
FBLN7	0.11401	0.0355818	0.120043	0.0501391	0.0780411	0.0344776	0.117326	0.0807292	0.0912543
FBN1	0.186018	0.172778	0.129179	0.12593	0.158011	0.113574	0.203458	0.0887885	0.182202
FBN2	0	0	0	0.00474169	0	0	0	0	0.00432491
FBN3	0	0	0	0	0	0	0.0177657	0	0.0103751
FBP1	0.330333	0.597561	0.394907	0.302241	0.363935	0.55425	0.656806	1.45764	0.583629
FBP2	0	0.0622537	0	0	0	0	0.136854	0	0
FBRS	6.97267	5.72015	5.81227	6.67679	6.46087	5.69831	7.12825	8.79776	8.76716
FBRSL1	1.14159	1.12129	1.34484	1.51372	1.19685	1.38497	1.90266	2.1664	1.88781
FBXL12	23.2349	18.0535	18.3594	20.4341	20.7948	17.3719	25.9949	32.1029	28.0808
FBXL13	1.420952	1.577509	1.686895	1.567885	1.622278	0.963489	2.681038	2.940334	2.220955
FBXL14	28.1247	24.9254	23.7937	26.6903	23.2116	24.0106	28.2584	30.0823	30.4169
FBXL15	4.40777	3.97694	4.36126	4.25939	4.25525	4.10403	5.77483	5.45375	5.53574
FBXL16	0.89381	0.694423	0.744009	0.755689	1.26198	0.733946	1.08703	1.17846	1.21497
FBXL17	5.45938	5.1366	5.23768	5.21702	6.14446	6.05412	8.10292	7.81595	8.30361
FBXL18	5.3297	5.49867	5.3921	5.1543	4.95429	4.40242	4.27315	5.39514	4.92178
FBXL19	12.830598	11.55022	12.3204000020427	12.539942	11.378794	10.98605	15.100026	15.6339600001564	14.06569
FBXL19-AS1	3.87213	3.44497	3.41475	2.90287	2.6356	2.71169	2.47585	2.83169	2.59649
FBXL2	0.532364	0.378543	0.643718	0.514185	0.771111	0.654941	0.445776	0.26594	0.502916
FBXL20	4.57672	4.609816	4.372387	4.894017	4.75649	4.464258	6.42256	7.023761	6.662749
FBXL21	0	0	0	0	0	0	0	0	0
FBXL22	1.8651	1.57571	1.24823	1.74097	1.61755	1.63757	0.899923	1.15256	1.04425
FBXL3	33.8327	34.0505	38.8928	33.4133	40.2812	41.7202	43.6466	48.6607	50.6554
FBXL4	19.7175	18.254	21.3136	19.7161	20.3107	20.691	19.8537	19.6969	20.6408
FBXL5	15.74233	14.69302	16.762126	14.222847	16.61124	16.50801	15.198332	14.89053	16.887184
FBXL6	21.545	18.57048	19.18501	24.73127	24.27286	21.50997	22.28685	28.30794	23.64809
FBXL7	0	0	0	0	0	0	0	0	0
FBXL8	2.2227	1.76978	2.09702	2.4264	1.27681	1.4154	2.60663	3.99191	3.39407
FBXO10	15.3763	13.7695	13.8466	13.7688	12.8431	14.1209	12.2984	12.5222	13.1803
FBXO11	23.76339	25.7854	28.9553	25.57121	28.9545	30.7952	24.52611	26.40358	26.716
FBXO15	0.1548778	0	0.327486	0.28937	0.300072000893606	0.0884084	0.1982187	0.551716000519131	0.4075546
FBXO16	2.09766	2.04162	2.337	2.11746	2.45696	1.57132	1.794555	1.91791	2.34626
FBXO17	4.80551000024712	4.85020000059033	4.94722000027557	3.82132000024943	4.87193000181708	5.53731000109414	3.11031	4.11395	3.38046000028663
FBXO18	21.62374	21.904946	20.95794	22.994853	22.231119	21.381472	28.421027	29.449021	30.23892
FBXO2	1.50566	1.74009	1.18862	1.90105	1.57309	1.46437	2.71791	3.46151	2.52394
FBXO21	31.81955	30.6455	31.5348	31.6375	31.174	31.4012	33.69183	32.6133	34.8855
FBXO22	36.02277	35.86546	35.87245	36.81694	39.98637	38.74543	42.51627	43.09157	43.05944
FBXO22-AS1	44.3982	56.8398	60.6144	54.6277	58.6374	67.0962	66.9027	63.8469	60.9691
FBXO24	0.50558	0.0388443	0.245243	0.164231	0.0567932	0.22323	0.280283	0.2349809	0.348822
FBXO25	0.459063433309	0.0668081	0.466537286249	0.482743327223	0.308973600023	0.525580695748	0.80041949003	0.382545341912	0.666997527615
FBXO27	8.37999	7.18735	8.52523	6.80304	8.35198	7.12375	5.64829	5.54345	6.15937
FBXO28	13.759256	15.176183	15.396755	12.700312	15.514934	14.994114	13.95146	14.7889	15.07702
FBXO3	17.3905	18.35365	19.18856	18.95946	17.60985	19.94533	18.53375	20.35289	18.80632
FBXO30	10.3578	11.2804	13.0031	11.7179	12.6645	13.5592	12.1863	12.9538	14.0348
FBXO31	13.01035	11.76652	11.31752	12.6547	11.59279	12.610805	14.3445	15.086992	15.1775
FBXO32	1.6555632	1.40325	1.629418	1.8914339	1.79466	2.05956	4.4378631	4.19863	4.395753
FBXO33	12.8739	13.8116	13.5617	11.7416	14.7891	14.8456	16.2856	17.8007	17.4418
FBXO34	21.56855	23.8212	23.35008	22.8649	24.04369	24.15613	28.25259	27.83646	30.35577
FBXO36	1.74478	1.65724	2.03536	1.98065	2.25373	2.08371	2.2497	1.99576	2.82673
FBXO38	22.96504	21.53683	25.35409	24.35459	24.70514	24.7835	29.60042	30.05	28.73152
FBXO39	0	0	0	0	0	0	0	0.0714314	0
FBXO4	21.10999	21.18921	23.55177	22.30281	24.00162	25.66744	19.21201	20.862209	19.35157
FBXO40	1.06826	1.21127	1.26715	0.816019	1.01908	0.84768	1.04916	0.805086	1.10975
FBXO41	10.6859	10.2229	9.45871	10.7412	9.57124	9.70978	8.28803	9.87446	9.19336
FBXO42	16.8171	19.8457	18.7138	19.4428	18.6725	18.5667	27.203	28.0236	27.9885
FBXO43	14.9551	15.32987	15.24144	13.89162	15.83043	16.51054	12.44054	14.72523	13.4729
FBXO44	9.275871	9.020248	9.23779	10.551204	9.54718	8.79751	11.7529	12.20667	12.50093
FBXO45	14.9692	15.1759	16.037	15.1544	17.2801	17.3358	17.6925	19.9874	19.1672
FBXO46	11.4087	11.7479	12.4323	11.9232	11.2401	11.4797	11.9859	14.0853	12.5697
FBXO47	0.0227701	0.132955	0.191801	0.210749	0.194417	0.0966198	0.273999	0.150843	0.447579
FBXO48	2.9333	3.70521	3.9852	3.10271	3.58873	3.30731	4.2688	4.56656	4.82611
FBXO5	50.6778	54.3044	62.0113	58.8175	60.8055	69.6271	62.5424	68.4351	66.0788
FBXO6	6.16333	4.29759	4.43875	5.015	5.25506	4.73177	4.68121	4.87564	4.82883
FBXO7	69.8555	68.23025	77.37028	72.17521	70.56689	78.04344	79.10326	83.72853	80.10022
FBXO8	6.28159	6.83244	6.92718	7.26789	6.59159	7.68838	9.38068	9.57097	11.0094
FBXO9	18.600689	17.58024	17.963661	16.283975	15.511028	17.185965	12.038085	13.75907	13.091765
FBXW10	0.0609740134836	0.0276844	0.025575	0.02130390554727	0.0959874	0.1110494	0.0128889	0	0.0882751
FBXW11	25.43058	24.96562	27.04934	25.34119	27.49471	28.42406	28.84237	30.65053	29.51925
FBXW12	0.185755	0.325419	0.390962	0.115519266	0.118902	0.158776	0.03001291559	0.286877	0.104246
FBXW2	18.7592	19.1679	19.1296	19.8428	19.8664	20.5572	19.7223	21.6352	21.6247
FBXW4	9.91168	9.61111	8.56427	8.84924	8.2698	8.13607	10.4066	11.9925	11.6301
FBXW4P1	5.78793	4.67099	5.51892	3.72639	4.0177	4.39287	3.28876	5.45502	3.55069
FBXW5	31.0216	26.7148	28.477	31.1776	28.6543	27.6562	39.3909	39.9533	38.3951
FBXW7	62.46126	57.894418	77.40445	70.472814	66.34477	78.34638	100.87223	95.4615	95.37057
FBXW8	8.21419	8.61314	8.37482	8.92419	8.89703	9.2916	11.19109	12.8177	10.69556
FBXW9	9.58835	9.84332	8.07416	9.29298	8.77887	8.18225	8.98287	11.4687	8.88436
FCAMR	0	0	0	0	0	0	0	0	0
FCAR	8.7955585	6.5307	8.579585	7.600094	8.142508	6.488204	4.592305	5.58696	6.158818
FCER1A	0	0	0	0	0.0517679	0	0	0	0
FCER1G	0.226465	0.49623	0.356299	0.937087	0.723071	0.160403	0.0909221	0.994463	0.211036
FCER2	0.11061	0.0538263	0.038801	0.0344056	0.0393345	0	0.0295816	0	0.0344866
FCF1	38.7702	37.7536	42.835	38.7639	41.6598	42.7516	41.7418	40.9895	44.9224
FCGBP	4.57911	3.88119	3.6947	4.48083	3.60015	3.28388	4.74525	5.59336	5.34897
FCGR1A	0	0	0	0	0	0	0	0	0
FCGR1B	0	0	0.0350198	0	0.0710008	0.0470714	0.242788	0.146851	0.0953507
FCGR1C	0.04141	0	0	0	0	0	0	0	0
FCGR2A	0.1318271	0.1009512	0	0.0771929	0.2543885	0	0.2479924	0	0.1646576
FCGR2B	49.075563	45.61144	45.943834	46.147426	46.587632	48.64695	39.06361	44.24541	47.1769
FCGR2C	0.160371	0.349439	0.34314	0.113393	0.230193	0.124679	0	0.412525	0
FCGR3A	0	0	0	0	0	0	0.058974848738	0	0
FCGR3B	0	0	0	0.0506463	0	0	0.0197518	0	0
FCGRT	6.60774	6.203152	6.336843	6.93667	7.103866	6.34165	14.154384	19.7479	17.4268
FCHO1	22.708855	19.019544	22.402112	23.518779	20.932234	21.411332	24.207224	28.91279	26.69471
FCHO2	1.988629	1.869308	2.140494	1.73586444706	2.71093	2.566646	2.4261500843168	2.45789	2.965592023
FCHSD1	9.613	8.8728	9.54851	10.716	9.34828	8.20256	12.8043	14.4651	12.4195
FCHSD2	31.7618	30.6114	35.3551	31.8634	31.4572	34.0522	29.0731	29.6423	29.4622
FCN1	0	0	0.0457027	0.0447327	0	0	0	0	0.0812342
FCN2	0	0	0	0.0642463	0	0	0.0500044	0	0
FCN3	0	0	0	0	0	0	0	0	0
FCRL1	9.618502	9.382076	9.567372	8.667704	8.94416	9.719152	6.54668	6.90532	7.31986
FCRL2	17.489	17.4689	18.1838	15.2159	16.4383	16.2443	3.47924	3.83596	4.13538
FCRL3	47.219	45.469	48.6503	41.5793	40.6258	44.488	25.0696	27.904	29.6602
FCRL4	0.0443502	0	0	0.106366	0.0946906	0.0836269	0.0592934	0.130643	0.0692158
FCRL5	9.70857	7.98007	8.43799	10.194190748	9.577710403	9.09808236849	12.1543000498514	14.28120256428	14.237601
FCRL6	0.0820675	0.079868	0.374381	0.168845	0.145962	0.232177	0.131677	0.0603902	0.179198
FCRLA	349.93083	346.77252	352.08697	342.77793	353.262124	384.69032	400.706067	432.24513	420.81293
FCRLB	21.3246	23.1152	21.9359	19.7874	20.4562	19.4387	12.606	13.3234	13.7653
FDCSP	0	0	0	0	0	0	0	0	0
FDFT1	104.417	99.2628	107.822	96.7244	91.0253	97.814	73.7332	69.8096	74.009
FDPS	263.03895	250.18214	267.89485	252.23327	234.46351	241.10426	203.455773	211.51742	212.68741
FDPSL2A	4.80353	4.33682	5.20658	3.93372	4.19615	3.70125	3.41461	3.28901	3.70968
FDX1	32.6458	36.0157	33.8359	31.7415	34.2338	33.8918	33.733	35.4527	35.8251
FDX1L	29.9054	24.5504	24.1317	26.7904	27.0651	28.969	37.3222	45.9058	42.4858
FDXACB1	17.69598	19.41772	18.78269	18.2597	19.54095	19.21038	14.71575	13.090853	14.83486
FDXR	10.344448	9.162536	9.047409	12.595215	10.170199	10.096631	17.925253	18.975558	16.487205
FECH	16.76219	16.78026	16.90913	16.64615	17.58087	17.386604	16.58398	16.81566	17.574311
FEM1A	32.8177	32.8692	32.5586	34.8712	33.0994	32.1253	35.6589	40.1015	37.7125
FEM1B	27.4054	25.6409	29.0723	27.8653	27.9277	30.9685	38.4731	36.6836	36.5034
FEM1C	3.95976	4.62887	4.26813	3.9767	4.74073	4.57118	3.4599	4.43295	4.38879
FEN1	143.944	143.696	140.828	142.578	136.724	145.764	121.727	126.93	118.325
FENDRR	0.524521	0.179805	0.869084	0.409633	0.444828	0.507811	0.309437	0.502819	0.390657
FER	5.97844	5.43509	6.7931	6.50545	6.54962	8.03489	7.30587	6.95046	6.62855
FER1L5	0.216162	0.13522	0.219594	0.16656	0.164863	0.109162	0.0805006	0.213289	0.0867798
FER1L6	0.00827837	0	0	0.0170106	0	0	0.0398412	0.00914826	0.0930529
FER1L6-AS1	0.271593	0.528612	0.333628	0.325851	0.289867	0.384146	0.217877	0.549759	0.423697
FERD3L	0	0	0	0	0	0	0	0	0
FERMT1	0	0	0	0	0	0	0	0.0107971	0
FERMT2	0.0731248	0.0711636	0.15398	0.2757653	0.3641922	0.1379103175	6.5507	5.92014	5.72621
FERMT3	25.35669	24.01486	23.49091	28.93641	25.79262	27.58486	44.98717	48.44371	47.27257
FES	5.4983	5.35074	5.06299	4.61184	4.48763	4.54406	5.75998	8.47576	6.783194
FETUB	0.09975	0.0485402	0.034996	0.205305	0.141905	0	0.0800288	0.220127	0
FEV	0	0	0	0	0	0	0.0455274	0	0
FEZ1	1.73852	2.21409	1.7070696	2.67923	2.00439	1.46306	1.58951	1.4806	1.34144
FEZ2	25.34319	25.87219	29.31031	24.06611	28.92782	32.19796	24.65991	27.10408	25.06676
FEZF1	0	0	0	0	0	0	0	0	0
FEZF1-AS1	0	0	0	0	0	0	0	0	0
FEZF2	0.0253243	0.0739358	0.0266619	0.0260476	0	0.0358211	0.101581	0.0561982	0.071103
FFAR1	0	0	0	0.0659315	0	0	0.0513166	0	0
FFAR2	3.01489	15.7158	2.87152	2.51211	2.88256	2.62276	2.00353	2.67858	2.32715
FFAR3	0	0	0	0	0	0	0	0	0
FFAR4	0.9991990572196	1.128810118665	1.118040067318	0.8116730555674	1.068800245777	1.050470155629	0.6497310392433	0.6061280563449	0.7509630606469
FGA	0	0	0	0	0	0	0	0	0
FGB	0.212046	0.0660052	0.246299	0.15831	0.195918	0.124695	0.0373484	0.119535	0.0590945
FGD1	1.52885	1.60883	1.33576	1.4128	1.49306	1.75976	1.84429	1.83317	2.0423
FGD2	8.68203	7.49127	7.65512	7.1016	6.98039	6.81787	6.59555	8.4576	7.83453
FGD3	11.96705	11.62359	11.11322	12.60576	11.583728	11.1008	17.97799	19.370300323263	19.88399
FGD4	11.1225	10.135	12.5501	10.6486	12.1796	12.9512	12.0855	12.6787	13.2142
FGD5	0.0255018	0	0.0626861	0	0	0.0120201	0	0	0.00796249
FGD5-AS1	43.11828	45.79144	47.95901	42.07438	49.41154	49.08768	47.10478	48.413035	50.98682
FGD5P1	0.61724	0.553044	0.697329	0.546717	0.694566	0.483351	0.290813	0.490659	0.252891
FGD6	2.21569	2.34195	2.30243	1.96953	2.35702	2.25949	1.98338	2.28042	2.25502
FGF1	0	0	0	0	0	0	0.0350657	0	0
FGF10	0	0	0	0	0	0	0	0	0
FGF11	0.992623	1.50468	0.884478	1.04018	1.10027	0.782938	1.28629	1.72863	1.80496
FGF12	0.0470237	0.137942	0.0592968	0.0580701	0.0496095	0.0394601	0.0671188	0.0205638	0.0455752
FGF13	0.222213	0.354123	0.141576	0.302059	0.232626	0.349608	0.0824737	0.201764	0.261636
FGF13-AS1	1.67397	2.19151	1.41847	1.10588	1.5868	1.54333	1.08701	0.35652	0.931596
FGF14	0	0.11124	0	0.0195877	0.0584727	0.0774743	0.0916984	0	0.0713442
FGF14-AS2	1.71351	2.42817	1.32525	2.44034	2.04229	2.13965	4.56967	3.44409	3.48592
FGF14-IT1	0.0990343	0	0.0782005	0.101859	0.105691	0.070041	0.377381	0.327992	0.185378
FGF16	0	0.370949	0	0	0	0	0	0	0
FGF17	0	0	0	0	0	0	0	0	0
FGF18	0	0.312631	0.0563652	0.0275374	0.0285679	0.0757346	0.236239	0.206848	0.100209
FGF19	0	0	0	0	0	0	0	0	0
FGF2	0.429764	0.502105	0.46364	0.439815	0.508983	0.296413	0.722147	0.708658	0.644294
FGF20	0.0569944	0	0	0	0	0	0	0	0
FGF21	0	0	0	0	0	0	0	0	0
FGF22	0.138161	0.605972	0	0.2864	0.147038	0	0.555054	0.454693	0.900289
FGF23	1.19676	29.4798	1.20669	1.26613	0.8945	0.894244	0.686896	1.22905	2.06742
FGF3	0	0	0	0	0	0	0.0281955	0	0
FGF4	0	0	0	0	0	0	0	0	0
FGF5	2.35388	2.0382600001508	2.03247	2.1353	2.0265800004654	1.91738000023376	1.19911	1.18267	1.79352000008992
FGF6	0	0	0	0	0	0	0	0	0
FGF7	0.0259808	0	0.0547051	0.0265476	0.0693058	0.0368387	0.0311109	0.0714483	0.0122051
