# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "H3K4me3.consensus_peaks.saf" "-s" "0" "-o" "H3K4me3.consensus_peaks.featureCounts.txt" "JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam" "JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP1.mLb.clN.sorted.bam" "JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam" "DMSO_H3K4me3_REP2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	JIB04_150nM_H3K4me3_REP2.mLb.clN.sorted.bam	JIB04_150nM_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP1.mLb.clN.sorted.bam	DMSO_H3K4me3_REP1.mLb.clN.sorted.bam	JIB04_500nM_H3K4me3_REP2.mLb.clN.sorted.bam	DMSO_H3K4me3_REP2.mLb.clN.sorted.bam
Interval_2896	chr10	133324929	133326211	+	1283	46	54	144	50	119	32
Interval_2897	chr10	133357033	133358417	+	1385	220	207	238	202	212	189
Interval_2898	chr10	133372437	133374202	+	1766	319	302	353	342	298	281
Interval_2899	chr10	133377854	133380218	+	2365	602	636	744	684	618	611
Interval_2900	chr10	133388287	133390513	+	2227	364	408	527	444	415	343
Interval_2901	chr10	133393679	133395378	+	1700	841	823	777	903	676	758
Interval_2902	chr10	133453922	133454936	+	1015	85	102	49	95	57	101
Interval_2903	chr10	133520040	133521040	+	1001	101	102	153	128	134	94
Interval_2904	chr10	133648595	133649295	+	701	26	24	23	25	20	18
Interval_2905	chr11	189169	189956	+	788	43	31	44	47	32	34
Interval_2906	chr11	206343	210186	+	3844	2407	2548	2517	2735	2149	2314
Interval_2907	chr11	235409	238171	+	2763	1501	1510	1577	1662	1319	1422
Interval_2908	chr11	267527	270049	+	2523	427	484	393	522	337	451
Interval_2909	chr11	287201	289921	+	2721	540	580	588	610	501	539
Interval_2910	chr11	355583	356511	+	929	60	57	68	76	65	64
Interval_2911	chr11	396782	397686	+	905	55	28	96	50	68	54
Interval_2912	chr11	406322	407135	+	814	136	180	146	177	128	141
Interval_2913	chr11	407486	407817	+	332	12	10	13	11	12	10
Interval_2914	chr11	441189	442303	+	1115	142	147	142	155	113	116
Interval_2915	chr11	447789	451442	+	3654	1474	1502	1496	1591	1310	1392
Interval_2916	chr11	504348	504914	+	567	41	33	44	40	33	25
Interval_2917	chr11	505502	507918	+	2417	858	910	984	998	834	863
Interval_2918	chr11	518494	519067	+	574	17	16	26	22	18	22
Interval_2919	chr11	534250	538195	+	3946	1344	1431	1382	1504	1144	1318
Interval_2920	chr11	554619	555021	+	403	15	18	19	14	15	15
Interval_2921	chr11	555203	555625	+	423	14	31	27	29	40	19
Interval_2922	chr11	559867	562127	+	2261	1048	1071	907	1089	804	998
Interval_2923	chr11	566924	569909	+	2986	1695	1826	824	1814	598	1564
Interval_2924	chr11	574449	578788	+	4340	1758	1852	1442	1890	1208	1691
Interval_2925	chr11	614918	616532	+	1615	364	365	475	429	392	398
Interval_2926	chr11	628289	628783	+	495	8	9	22	8	27	9
Interval_2927	chr11	693654	694341	+	688	24	33	23	20	28	25
Interval_2928	chr11	694559	697178	+	2620	1097	1182	1290	1320	1114	1077
Interval_2929	chr11	710218	711133	+	916	60	48	37	52	40	37
Interval_2930	chr11	720529	722646	+	2118	125	120	153	138	103	116
Interval_2931	chr11	723129	723419	+	291	9	11	20	9	15	17
Interval_2932	chr11	724581	726976	+	2396	368	399	346	444	281	347
Interval_2933	chr11	746574	749329	+	2756	1691	1774	1744	1880	1505	1613
Interval_2934	chr11	776086	778584	+	2499	1176	1273	1192	1332	1064	1181
Interval_2935	chr11	789076	790334	+	1259	170	171	194	184	141	157
Interval_2936	chr11	794796	798683	+	3888	1420	1468	1381	1606	1184	1365
Interval_2937	chr11	803817	805867	+	2051	591	592	568	674	510	567
Interval_2938	chr11	808318	811685	+	3368	2067	2058	2122	2263	1952	1931
Interval_2939	chr11	818973	820793	+	1821	512	561	577	542	504	538
Interval_2940	chr11	826788	827838	+	1051	86	88	159	78	126	61
Interval_2941	chr11	829292	830937	+	1646	120	106	157	130	127	100
Interval_2942	chr11	832415	833778	+	1364	107	131	173	151	156	100
Interval_2943	chr11	841275	843709	+	2435	978	1012	1077	1090	958	921
Interval_2944	chr11	848579	851024	+	2446	453	464	514	523	447	380
Interval_2945	chr11	909519	911855	+	2337	924	1037	1003	1086	929	940
Interval_2946	chr11	925398	927056	+	1659	415	451	405	496	372	410
Interval_2947	chr11	1261987	1263330	+	1344	192	240	273	246	231	242
Interval_2948	chr11	1307033	1307770	+	738	26	21	32	36	25	19
Interval_2949	chr11	1307992	1311171	+	3180	1104	1165	1229	1262	1102	1049
Interval_2950	chr11	1382819	1383760	+	942	71	78	123	92	122	70
Interval_2951	chr11	1388653	1389812	+	1160	33	43	82	51	77	29
Interval_2952	chr11	1521096	1524410	+	3315	560	643	275	655	168	522
Interval_2953	chr11	1546612	1547862	+	1251	47	40	134	44	139	30
Interval_2954	chr11	1548131	1548693	+	563	5	4	31	5	32	3
Interval_2955	chr11	1571298	1573449	+	2152	214	267	289	240	255	223
Interval_2956	chr11	1574158	1574909	+	752	49	68	98	72	76	53
Interval_2957	chr11	1605868	1606476	+	609	16	22	30	22	25	18
Interval_2958	chr11	1762952	1764672	+	1721	663	658	755	744	667	637
Interval_2959	chr11	1852062	1855212	+	3151	1309	1459	792	1561	675	1219
Interval_2960	chr11	2376775	2379241	+	2467	1097	1075	1085	1211	943	1066
Interval_2961	chr11	2379506	2380588	+	1083	48	63	88	57	65	45
Interval_2962	chr11	2380786	2381281	+	496	16	19	25	20	20	19
Interval_2963	chr11	2384533	2390468	+	5936	1604	1749	1261	1905	1036	1489
Interval_2964	chr11	2390519	2390763	+	245	19	23	12	29	8	15
Interval_2965	chr11	2391088	2392384	+	1297	78	74	54	76	39	60
Interval_2966	chr11	2393215	2393492	+	278	15	16	14	15	13	9
Interval_2967	chr11	2399401	2401970	+	2570	1351	1354	1401	1519	1150	1297
Interval_2968	chr11	2698572	2701125	+	2554	867	865	818	993	647	826
Interval_2969	chr11	2901647	2903108	+	1462	271	307	290	335	249	291
Interval_2970	chr11	2988027	2993777	+	5751	1767	1817	1770	2092	1463	1713
Interval_2971	chr11	3056219	3058071	+	1853	1061	1100	1074	1235	963	1033
Interval_2972	chr11	3377682	3377918	+	237	8	8	5	7	10	3
Interval_2973	chr11	3378187	3379433	+	1247	672	674	700	769	630	669
Interval_2974	chr11	3421772	3423678	+	1907	394	377	457	385	408	310
Interval_2975	chr11	3580899	3581178	+	280	7	6	11	5	10	5
Interval_2976	chr11	3795993	3798885	+	2893	1347	1408	1333	1556	1117	1244
Interval_2977	chr11	3807783	3809307	+	1525	506	527	610	622	449	500
Interval_2978	chr11	3839122	3841995	+	2874	900	869	814	964	660	845
Interval_2979	chr11	3854304	3857987	+	3684	1249	1309	1206	1379	1022	1146
Interval_2980	chr11	3859240	3859599	+	360	22	22	19	23	15	18
Interval_2981	chr11	4093770	4096580	+	2811	1266	1277	1305	1412	1080	1180
Interval_2982	chr11	4187134	4187793	+	660	45	44	76	49	56	49
Interval_2983	chr11	4392749	4394092	+	1344	610	637	587	683	524	592
Interval_2984	chr11	4607214	4608716	+	1503	415	445	491	503	373	400
Interval_2985	chr11	5611545	5611781	+	237	6	4	8	8	9	2
Interval_2986	chr11	5623816	5625985	+	2170	544	634	577	686	429	513
Interval_2987	chr11	5684020	5685368	+	1349	217	252	187	229	136	194
Interval_2988	chr11	5689434	5691973	+	2540	515	519	490	562	386	427
Interval_2989	chr11	6179238	6179868	+	631	22	22	23	15	30	19
Interval_2990	chr11	6233702	6235662	+	1961	753	770	793	825	665	670
Interval_2991	chr11	6389498	6391484	+	1987	785	826	898	903	735	697
Interval_2992	chr11	6402598	6402895	+	298	9	6	9	6	18	6
Interval_2993	chr11	6418284	6419960	+	1677	659	694	729	789	654	700
Interval_2994	chr11	6473052	6474452	+	1401	278	276	324	321	274	250
Interval_2995	chr11	6480495	6482626	+	2132	1398	1396	1369	1450	1109	1330
Interval_2996	chr11	6602355	6605098	+	2744	1453	1524	1451	1635	1228	1422
Interval_2997	chr11	6611093	6613162	+	2070	998	1033	1035	1131	846	962
Interval_2998	chr11	6618512	6619883	+	1372	553	552	508	600	465	529
Interval_2999	chr11	6654961	6656189	+	1229	29	34	80	23	74	49
Interval_3000	chr11	6681954	6684009	+	2056	1136	1147	1114	1285	987	1052
Interval_3001	chr11	6746120	6746683	+	564	16	20	32	15	33	18
Interval_3002	chr11	6925900	6928564	+	2665	868	861	960	986	795	861
Interval_3003	chr11	7465376	7465751	+	376	6	7	15	6	7	4
Interval_3004	chr11	7512619	7517058	+	4440	1523	1522	1456	1713	1269	1420
Interval_3005	chr11	7518988	7520363	+	1376	79	86	82	110	73	67
Interval_3006	chr11	7672674	7674898	+	2225	645	631	662	682	513	583
Interval_3007	chr11	7890100	7890444	+	345	9	6	6	20	12	5
Interval_3008	chr11	7986408	7988596	+	2189	646	688	601	676	518	584
Interval_3009	chr11	8593629	8594676	+	1048	171	189	305	235	255	201
Interval_3010	chr11	8681593	8684618	+	3026	1963	1919	2032	2083	1780	1812
Interval_3011	chr11	8687266	8689957	+	2692	589	603	559	749	460	548
Interval_3012	chr11	8909910	8912024	+	2115	699	713	797	810	653	686
Interval_3013	chr11	8962884	8965430	+	2547	1444	1516	1555	1674	1326	1416
Interval_3014	chr11	9003392	9004197	+	806	36	42	74	40	69	26
Interval_3015	chr11	9091029	9091502	+	474	4	1	12	3	23	2
Interval_3016	chr11	9263873	9266064	+	2192	728	766	866	820	765	689
Interval_3017	chr11	9313160	9315586	+	2427	905	933	912	1051	752	850
Interval_3018	chr11	9363881	9364935	+	1055	364	379	472	443	357	392
Interval_3019	chr11	9384313	9386409	+	2097	1250	1268	1270	1353	1099	1168
Interval_3020	chr11	9458965	9462779	+	3815	1440	1477	1475	1661	1165	1346
Interval_3021	chr11	9572155	9578179	+	6025	3262	3399	3508	3562	2990	3036
Interval_3022	chr11	9600703	9602378	+	1676	201	222	216	228	210	183
Interval_3023	chr11	9613214	9615285	+	2072	327	381	333	379	248	318
Interval_3024	chr11	9662448	9668521	+	6074	1628	1671	1507	1880	1204	1520
Interval_3025	chr11	9669333	9669624	+	292	14	3	4	6	5	6
Interval_3026	chr11	9757813	9759973	+	2161	1007	1068	941	1058	769	995
Interval_3027	chr11	10293217	10295054	+	1838	551	556	632	652	511	544
Interval_3028	chr11	10302466	10310981	+	8516	3056	3333	1633	3509	1244	2885
Interval_3029	chr11	10314497	10314764	+	268	8	5	14	4	2	3
Interval_3030	chr11	10450351	10451309	+	959	63	63	121	64	121	63
Interval_3031	chr11	10455119	10458310	+	3192	614	679	436	665	310	540
Interval_3032	chr11	10458803	10459501	+	699	46	42	30	44	26	31
Interval_3033	chr11	10540148	10541821	+	1674	627	609	714	701	614	555
Interval_3034	chr11	10750439	10752460	+	2022	1018	1013	1080	1164	902	960
Interval_3035	chr11	10807122	10810037	+	2916	1841	1864	1866	2083	1632	1706
Interval_3036	chr11	10856510	10859382	+	2873	1639	1633	1744	1937	1473	1571
Interval_3037	chr11	10930698	10931650	+	953	34	27	106	28	94	34
Interval_3038	chr11	10933905	10934375	+	471	16	11	35	17	31	18
Interval_3039	chr11	11156162	11156670	+	509	26	21	38	20	24	36
Interval_3040	chr11	11261395	11261650	+	256	4	8	13	5	11	5
Interval_3041	chr11	11620923	11622138	+	1216	42	43	76	51	59	35
Interval_3042	chr11	11841393	11844357	+	2965	985	934	940	1036	735	884
Interval_3043	chr11	12989052	12989750	+	699	18	24	36	14	29	14
Interval_3044	chr11	13276674	13279261	+	2588	1089	1193	1252	1247	1097	1036
Interval_3045	chr11	13461959	13464257	+	2299	1056	1125	1088	1268	902	999
Interval_3046	chr11	13487298	13487902	+	605	25	18	40	29	21	23
Interval_3047	chr11	13667747	13670513	+	2767	954	1008	1038	1123	964	949
Interval_3048	chr11	14324678	14325040	+	363	11	8	5	9	3	8
Interval_3049	chr11	14356124	14359544	+	3421	971	920	908	1107	721	936
Interval_3050	chr11	14380644	14381574	+	931	79	96	77	89	88	87
Interval_3051	chr11	14479913	14480160	+	248	1	1	6	0	7	2
Interval_3052	chr11	14498925	14500826	+	1902	508	545	527	583	410	496
Interval_3053	chr11	14518841	14521247	+	2407	1127	1124	1137	1243	952	1025
Interval_3054	chr11	14890702	14892682	+	1981	748	802	911	951	741	745
Interval_3055	chr11	14904637	14906866	+	2230	733	717	724	824	583	716
Interval_3056	chr11	14907564	14907834	+	271	24	34	14	26	13	22
Interval_3057	chr11	15074632	15075128	+	497	21	19	44	28	28	27
Interval_3058	chr11	16737634	16740175	+	2542	975	1058	1068	1147	876	902
Interval_3059	chr11	17013015	17015267	+	2253	325	331	447	387	411	304
Interval_3060	chr11	17076240	17079089	+	2850	1642	1737	1745	1863	1455	1561
Interval_3061	chr11	17206601	17209292	+	2692	1224	1335	1272	1507	1050	1231
Interval_3062	chr11	17275985	17278499	+	2515	865	863	894	943	761	827
Interval_3063	chr11	17351286	17354563	+	3278	1118	1141	1235	1318	1040	1029
Interval_3064	chr11	17388626	17390334	+	1709	314	312	304	338	252	353
Interval_3065	chr11	17734278	17735569	+	1292	83	88	224	95	223	78
Interval_3066	chr11	18011396	18014269	+	2874	1086	1148	1076	1217	913	986
Interval_3067	chr11	18104887	18106454	+	1568	735	722	738	805	624	677
Interval_3068	chr11	18173242	18173886	+	645	47	48	65	71	33	43
Interval_3069	chr11	18228300	18229635	+	1336	99	120	74	129	50	116
Interval_3070	chr11	18246423	18246984	+	562	5	16	22	13	16	11
Interval_3071	chr11	18320312	18323808	+	3497	1180	1199	1275	1378	1028	1199
Interval_3072	chr11	18324087	18324735	+	649	29	15	7	17	18	19
Interval_3073	chr11	18393996	18396924	+	2929	2168	2200	1898	2353	1542	2024
Interval_3074	chr11	18525835	18528232	+	2398	1212	1245	1226	1361	1049	1167
Interval_3075	chr11	18587598	18589199	+	1602	582	585	673	666	539	519
Interval_3076	chr11	18633177	18635384	+	2208	942	983	1011	1048	797	873
Interval_3077	chr11	18650822	18651385	+	564	26	27	41	26	33	30
Interval_3078	chr11	18698243	18699753	+	1511	625	581	715	644	620	577
Interval_3079	chr11	18720937	18722329	+	1393	404	437	460	453	366	379
Interval_3080	chr11	19116459	19118370	+	1912	753	765	744	837	611	657
Interval_3081	chr11	19238918	19242499	+	3582	961	992	1049	1109	848	880
Interval_3082	chr11	19777183	19777530	+	348	1	3	12	7	23	3
Interval_3083	chr11	19777740	19777986	+	247	3	7	15	5	4	6
Interval_3084	chr11	20363329	20364895	+	1567	670	687	682	750	618	640
Interval_3085	chr11	20386672	20389509	+	2838	1372	1362	1386	1523	1193	1271
Interval_3086	chr11	21611201	21611441	+	241	9	6	4	9	3	3
Interval_3087	chr11	21612353	21612611	+	259	4	10	4	3	0	2
Interval_3088	chr11	22624620	22626484	+	1865	836	889	891	961	746	822
Interval_3089	chr11	22828416	22830356	+	1941	551	576	591	609	503	558
Interval_3090	chr11	23961688	23962217	+	530	10	12	37	24	19	14
Interval_3091	chr11	26284620	26285230	+	611	40	43	50	43	41	25
Interval_3092	chr11	26332148	26332397	+	250	6	2	9	4	4	4
Interval_3093	chr11	26905462	26906426	+	965	43	60	21	47	20	58
Interval_3094	chr11	26907490	26909154	+	1665	86	72	43	68	28	70
Interval_3095	chr11	26992174	26997764	+	5591	1012	1020	762	1277	602	944
Interval_3096	chr11	27041211	27042410	+	1200	114	117	51	134	33	98
Interval_3097	chr11	27362122	27363967	+	1846	658	707	722	787	571	630
Interval_3098	chr11	27471249	27472971	+	1723	450	438	497	533	407	434
Interval_3099	chr11	27505461	27507819	+	2359	1066	1106	1068	1195	890	1038
Interval_3100	chr11	27665250	27665852	+	603	42	33	42	32	39	27
Interval_3101	chr11	27700176	27701650	+	1475	20	18	67	13	78	13
Interval_3102	chr11	28105646	28111270	+	5625	1190	1289	1176	1355	970	1071
Interval_3103	chr11	30205635	30206965	+	1331	45	53	46	78	33	38
Interval_3104	chr11	30255604	30256072	+	469	12	11	25	15	12	9
Interval_3105	chr11	30322017	30325454	+	3438	870	924	872	1025	668	776
Interval_3106	chr11	31335071	31335371	+	301	5	17	19	11	11	10
Interval_3107	chr11	31369245	31370959	+	1715	442	467	529	515	398	399
Interval_3108	chr11	31508169	31511412	+	3244	1012	1018	1053	1152	811	926
Interval_3109	chr11	31808560	31808913	+	354	2	2	10	2	10	1
Interval_3110	chr11	31812895	31814460	+	1566	13	13	81	6	59	10
Interval_3111	chr11	31995553	31995995	+	443	22	18	29	23	23	22
Interval_3112	chr11	32090692	32092016	+	1325	121	143	193	143	169	112
Interval_3113	chr11	32583324	32585660	+	2337	904	939	894	1021	797	853
Interval_3114	chr11	32829228	32830125	+	898	117	106	152	118	124	88
Interval_3115	chr11	32892007	32894929	+	2923	1094	1166	1214	1252	955	1056
Interval_3116	chr11	33015696	33016658	+	963	108	79	104	95	89	90
Interval_3117	chr11	33038680	33040892	+	2213	1354	1387	1356	1501	1162	1274
Interval_3118	chr11	33159808	33162609	+	2802	984	1011	969	1083	801	856
Interval_3119	chr11	33256601	33259536	+	2936	1499	1504	1486	1652	1304	1416
Interval_3120	chr11	33375604	33377814	+	2211	499	492	432	555	347	430
Interval_3121	chr11	33700188	33701538	+	1351	244	233	260	248	209	229
Interval_3122	chr11	33734547	33737027	+	2481	648	701	770	849	601	691
Interval_3123	chr11	33773373	33775180	+	1808	713	737	759	820	654	702
Interval_3124	chr11	33869085	33870602	+	1518	39	49	81	48	83	37
Interval_3125	chr11	33891240	33892143	+	904	8	6	73	16	63	9
Interval_3126	chr11	33893874	33894702	+	829	36	28	57	30	39	31
Interval_3127	chr11	34050974	34054278	+	3305	1794	1829	1926	1999	1652	1757
Interval_3128	chr11	34104882	34107431	+	2550	1096	1131	1066	1219	936	1047
Interval_3129	chr11	34174277	34174758	+	482	16	13	34	19	22	9
Interval_3130	chr11	34251197	34251433	+	237	14	5	14	8	14	14
Interval_3131	chr11	34357205	34359427	+	2223	303	288	393	307	332	250
Interval_3132	chr11	34438110	34440279	+	2170	718	786	829	886	637	723
Interval_3133	chr11	34915155	34917746	+	2592	1245	1276	1259	1418	1105	1192
Interval_3134	chr11	35391455	35391988	+	534	12	14	14	21	6	16
Interval_3135	chr11	35618002	35619006	+	1005	12	20	25	20	42	19
Interval_3136	chr11	35661808	35663807	+	2000	662	703	788	734	633	612
Interval_3137	chr11	36288503	36289935	+	1433	376	410	382	446	306	357
Interval_3138	chr11	36508752	36510845	+	2094	1065	1051	1038	1153	905	985
Interval_3139	chr11	43311493	43313501	+	2009	756	744	766	841	618	676
Interval_3140	chr11	43358009	43360633	+	2625	1267	1201	1161	1380	983	1141
Interval_3141	chr11	43578516	43581694	+	3179	407	454	686	476	566	412
Interval_3142	chr11	43643702	43645276	+	1575	663	708	663	737	493	590
Interval_3143	chr11	43680102	43683016	+	2915	797	852	835	937	702	772
Interval_3144	chr11	43921850	43922560	+	711	40	34	73	44	48	42
Interval_3145	chr11	43942792	43943256	+	465	9	8	18	14	19	8
Interval_3146	chr11	44065780	44066930	+	1151	225	201	272	243	230	199
Interval_3147	chr11	44095380	44096777	+	1398	647	662	656	721	589	650
Interval_3148	chr11	44564951	44566376	+	1426	160	174	183	188	134	153
Interval_3149	chr11	44604320	44605730	+	1411	216	235	114	245	86	194
Interval_3150	chr11	44726039	44728372	+	2334	351	343	478	399	382	316
Interval_3151	chr11	44949210	44950959	+	1750	93	81	163	94	110	74
Interval_3152	chr11	45128028	45128558	+	531	20	22	25	28	28	18
Interval_3153	chr11	45145762	45148070	+	2309	499	524	631	578	485	417
Interval_3154	chr11	45180296	45180541	+	246	4	0	15	4	6	7
Interval_3155	chr11	45332722	45333977	+	1256	102	106	107	128	76	87
Interval_3156	chr11	45339784	45340527	+	744	79	69	109	82	72	61
Interval_3157	chr11	45355084	45356406	+	1323	310	339	382	371	329	311
Interval_3158	chr11	45665025	45665594	+	570	1	4	18	5	30	5
Interval_3159	chr11	45771314	45772212	+	899	107	106	162	106	129	84
Interval_3160	chr11	45803885	45806421	+	2537	799	786	916	901	736	774
Interval_3161	chr11	45846647	45848859	+	2213	850	858	920	948	794	818
Interval_3162	chr11	45885244	45886387	+	1144	150	150	182	128	138	127
Interval_3163	chr11	45899299	45900823	+	1525	226	230	307	257	292	232
Interval_3164	chr11	45902506	45902994	+	489	8	11	20	13	18	5
Interval_3165	chr11	45916905	45919175	+	2271	1337	1402	1316	1477	1160	1245
Interval_3166	chr11	45922007	45923612	+	1606	244	267	296	264	253	203
Interval_3167	chr11	45930361	45934092	+	3732	512	530	333	554	224	431
Interval_3168	chr11	46117153	46117389	+	237	3	3	2	7	3	1
Interval_3169	chr11	46117919	46122747	+	4829	881	982	929	1058	791	893
Interval_3170	chr11	46237529	46238743	+	1215	26	33	136	27	107	16
Interval_3171	chr11	46238941	46239430	+	490	19	13	63	14	37	14
Interval_3172	chr11	46242730	46244004	+	1275	297	290	396	321	329	240
Interval_3173	chr11	46295287	46296228	+	942	38	39	97	40	73	29
Interval_3174	chr11	46332612	46333607	+	996	20	24	81	19	54	19
Interval_3175	chr11	46338673	46339182	+	510	4	10	10	10	19	11
Interval_3176	chr11	46346897	46348908	+	2012	807	771	815	824	646	723
Interval_3177	chr11	46361170	46362974	+	1805	533	580	347	597	314	572
Interval_3178	chr11	46380451	46382725	+	2275	121	110	332	121	332	117
Interval_3179	chr11	46389377	46390367	+	991	110	125	201	114	156	90
Interval_3180	chr11	46391176	46393314	+	2139	251	277	580	279	437	252
Interval_3181	chr11	46428973	46429395	+	423	23	22	22	23	20	20
Interval_3182	chr11	46560336	46561285	+	950	38	46	49	48	29	32
Interval_3183	chr11	46592826	46594599	+	1774	717	824	839	916	711	744
Interval_3184	chr11	46616519	46618761	+	2243	956	960	947	1034	860	931
Interval_3185	chr11	46699708	46702016	+	2309	1375	1393	1435	1525	1197	1316
Interval_3186	chr11	46826393	46827349	+	957	131	153	133	133	118	124
Interval_3187	chr11	46844638	46847067	+	2430	1080	1161	1097	1254	940	1092
Interval_3188	chr11	46916811	46919249	+	2439	803	862	671	906	565	762
Interval_3189	chr11	46936400	46937559	+	1160	240	296	330	298	254	246
Interval_3190	chr11	47106980	47110318	+	3339	489	568	167	582	100	420
Interval_3191	chr11	47110598	47111292	+	695	28	35	11	38	11	17
Interval_3192	chr11	47175562	47177728	+	2167	1293	1287	1261	1417	1088	1177
Interval_3193	chr11	47185470	47187688	+	2219	344	356	543	379	455	338
Interval_3194	chr11	47214196	47217149	+	2954	954	1098	1233	1111	1018	960
Interval_3195	chr11	47248010	47249835	+	1826	1143	1092	1118	1256	963	1028
Interval_3196	chr11	47269138	47271439	+	2302	499	562	610	640	477	519
Interval_3197	chr11	47376213	47378945	+	2733	1175	1229	995	1340	785	1076
Interval_3198	chr11	47394650	47395186	+	537	32	29	31	34	32	27
Interval_3199	chr11	47399137	47401103	+	1967	343	379	323	419	256	326
Interval_3200	chr11	47407377	47409562	+	2186	632	626	544	723	450	587
Interval_3201	chr11	47424849	47427510	+	2662	932	959	1052	1077	808	913
Interval_3202	chr11	47551156	47553724	+	2569	1257	1289	1300	1388	1090	1192
Interval_3203	chr11	47564789	47566831	+	2043	1277	1318	1273	1388	1117	1174
Interval_3204	chr11	47577773	47580305	+	2533	1424	1420	1403	1539	1199	1294
Interval_3205	chr11	47641175	47643480	+	2306	939	906	956	1036	769	846
Interval_3206	chr11	47714488	47715728	+	1241	413	476	450	507	372	423
Interval_3207	chr11	47765319	47768908	+	3590	1636	1724	1828	1991	1563	1616
Interval_3208	chr11	47847044	47849360	+	2317	1170	1218	1266	1289	1087	1158
Interval_3209	chr11	47942092	47942557	+	466	31	39	23	31	17	27
Interval_3210	chr11	47979843	47984215	+	4373	1616	1667	1475	1742	1293	1518
Interval_3211	chr11	47990382	47991661	+	1280	43	54	56	51	55	36
Interval_3212	chr11	48017519	48017964	+	446	28	29	14	28	10	22
Interval_3213	chr11	48018184	48020910	+	2727	237	250	222	259	172	192
Interval_3214	chr11	48022628	48023621	+	994	85	83	40	80	28	75
Interval_3215	chr11	48044638	48046204	+	1567	138	171	78	192	51	118
Interval_3216	chr11	50297926	50298363	+	438	31	32	34	35	22	25
Interval_3217	chr11	57323409	57326153	+	2745	524	526	621	610	522	511
Interval_3218	chr11	57334419	57336483	+	2065	734	742	758	797	627	653
Interval_3219	chr11	57424724	57427535	+	2812	861	873	867	1008	683	775
Interval_3220	chr11	57458270	57461320	+	3051	212	247	302	246	240	202
Interval_3221	chr11	57476214	57477039	+	826	28	18	78	21	76	26
Interval_3222	chr11	57482862	57483503	+	642	32	52	47	27	28	34
Interval_3223	chr11	57512305	57516440	+	4136	1124	1176	1902	1281	1633	1129
Interval_3224	chr11	57529618	57531677	+	2060	942	966	939	1038	864	871
Interval_3225	chr11	57565813	57568658	+	2846	1104	1142	1106	1289	891	1058
Interval_3226	chr11	57649348	57649622	+	275	4	6	12	4	13	1
Interval_3227	chr11	57656988	57658568	+	1581	522	563	549	628	464	543
Interval_3228	chr11	57666580	57669584	+	3005	1476	1417	1399	1592	1216	1349
Interval_3229	chr11	57711318	57714230	+	2913	1288	1365	1364	1529	1140	1267
Interval_3230	chr11	57740835	57742921	+	2087	1010	987	1042	1150	912	958
Interval_3231	chr11	58572802	58581627	+	8826	2587	2725	2649	3061	2231	2520
Interval_3232	chr11	58900960	58901196	+	237	8	11	13	8	12	8
Interval_3233	chr11	59057956	59058841	+	886	87	104	101	113	72	92
Interval_3234	chr11	59096301	59102783	+	6483	767	806	823	910	689	691
Interval_3235	chr11	59104724	59109458	+	4735	1018	1155	1255	1244	1028	1045
Interval_3236	chr11	59142065	59146410	+	4346	1385	1519	1631	1695	1263	1345
Interval_3237	chr11	59171520	59173604	+	2085	640	666	754	732	661	672
Interval_3238	chr11	59283495	59284736	+	1242	73	65	68	79	55	60
Interval_3239	chr11	59536870	59537828	+	959	62	84	76	93	70	50
Interval_3240	chr11	59549235	59552472	+	3238	548	562	634	609	479	495
Interval_3241	chr11	59555735	59558775	+	3041	389	398	404	438	308	354
Interval_3242	chr11	59559976	59561410	+	1435	446	437	502	472	390	448
Interval_3243	chr11	59565310	59566712	+	1403	392	391	374	447	326	368
Interval_3244	chr11	59614358	59616937	+	2580	1084	1056	1093	1157	932	979
Interval_3245	chr11	59667763	59670181	+	2419	667	722	761	833	621	719
Interval_3246	chr11	59754033	59756341	+	2309	1169	1253	1310	1301	1100	1077
Interval_3247	chr11	59809664	59811260	+	1597	630	594	623	723	552	577
Interval_3248	chr11	59814305	59814597	+	293	6	5	14	4	7	3
Interval_3249	chr11	59819136	59820695	+	1560	156	166	116	189	96	171
Interval_3250	chr11	60445969	60447036	+	1068	66	99	93	86	79	78
Interval_3251	chr11	60455259	60460004	+	4746	1327	1422	1506	1572	1169	1181
Interval_3252	chr11	60841561	60844789	+	3229	1458	1420	1560	1641	1352	1310
Interval_3253	chr11	60905102	60907381	+	2280	1166	1159	1186	1257	977	1069
Interval_3254	chr11	60913615	60916132	+	2518	887	969	1095	1074	859	912
Interval_3255	chr11	60924009	60925184	+	1176	119	145	180	162	153	119
Interval_3256	chr11	60951199	60951678	+	480	11	13	13	8	18	9
Interval_3257	chr11	61007244	61008747	+	1504	257	281	372	321	277	246
Interval_3258	chr11	61021436	61023024	+	1589	112	141	82	131	68	143
Interval_3259	chr11	61025893	61028564	+	2672	643	728	328	794	253	607
